Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
287,Patrick Zahraj,25.7,1472.2,,232,1483.2,361,1360.0,276,1436.1,,1596.7,2025-03,,274.0,0.05
288,Guy Den Ouden,23.0,1472.1,,437,1279.5,214,1500.5,278,1436.0,,1535.9,2024-09,,225.0,0.25
289,Enzo Couacaud,30.0,1471.4,,268,1448.6,246,1458.0,224,1474.8,,1647.1,2020-02,,405.0,-0.34
290,Johannus Monday,23.2,1471.2,,281,1435.9,375,1345.6,310,1418.7,,1551.9,2025-02,,250.0,0.15
291,Stefan Kozlov,27.2,1471.2,,290,1417.7,257,1448.8,245,1452.5,,1724.4,2022-02,,441.0,-0.42
292,Enrico Dalla Valle,27.0,1471.1,,355,1364.5,231,1473.0,280,1435.5,,1543.6,2024-07,,292.0,0.0
293,Egor Gerasimov,32.3,1471.0,,265,1449.7,288,1423.9,388,1375.7,,1802.1,2020-03,,392.0,-0.29
294,Nicolai Budkov Kjaer,18.6,1470.8,,208,1507.7,317,1398.4,204,1485.4,,1625.3,2025-02,,307.0,-0.04
295,Hazem Naw,24.7,1470.7,,254,1461.9,323,1393.7,205,1485.3,,1633.7,2024-02,,573.0,-0.66
296,Andres Martin,23.7,1469.5,,278,1438.1,252,1451.1,207,1484.7,,1603.6,2022-07,,382.0,-0.26
297,Khumoun Sultanov,26.4,1468.4,,257,1458.7,400,1327.6,258,1444.9,,1553.9,2025-02,,,
298,Jiri Vesely,31.6,1467.8,,259,1457.8,270,1437.6,177,1511.6,,1891.6,2014-06,,357.0,-0.18
299,Omar Jasika,27.9,1466.3,,274,1447.4,384,1335.2,435,1351.6,,1669.1,2017-02,,209.0,0.36
300,Christoph Negritu,30.9,1465.8,,279,1437.7,339,1381.0,285,1432.9,,1540.2,2024-11,,308.0,-0.03
301,Matheus Pucinelli De Almeida,24.0,1465.2,,402,1324.3,247,1456.6,284,1433.5,,1650.0,2022-03,,306.0,-0.02
302,Antoine Escoffier,33.1,1465.1,,283,1433.1,437,1278.1,331,1405.5,,1628.4,2023-03,,218.0,0.33
303,Cezar Cretu,23.9,1463.6,,291,1417.3,295,1416.1,288,1431.8,,1526.0,2024-09,,362.0,-0.18
304,Laurent Lokoli,29.9,1463.4,,301,1409.7,237,1467.2,232,1465.0,,1608.2,2023-07,,466.0,-0.43
305,Andres Andrade,26.3,1462.2,,312,1400.5,262,1444.5,291,1431.1,,1584.8,2024-08,,300.0,0.02
306,Oriol Roca Batalla,31.9,1461.0,,328,1385.5,266,1440.8,360,1391.6,,1554.6,2024-06,,240.0,0.24
307,Genaro Alberto Olivieri,26.7,1460.0,,375,1343.1,253,1450.4,432,1354.9,,1585.6,2023-07,,286.0,0.07
308,Gastao Elias,34.4,1458.4,,273,1447.5,284,1427.2,385,1377.6,,1737.5,2016-08,,318.0,-0.03
309,Stuart Parker,27.5,1458.0,,266,1449.2,380,1339.0,459,1336.6,,1524.1,2025-03,,432.0,-0.34
310,Patrick Kypson,25.4,1457.1,,275,1446.9,307,1405.8,316,1414.7,,1709.4,2024-02,,435.0,-0.34
311,Abedallah Shelbayh,21.4,1456.3,,282,1433.3,308,1404.8,255,1445.8,,1648.2,2024-02,,278.0,0.11
312,Hynek Barton,20.9,1456.3,,284,1429.8,334,1387.7,295,1428.2,,1498.9,2025-02,,366.0,-0.16
313,Gianluca Mager,30.1,1454.7,,309,1402.7,265,1442.0,303,1420.8,,1733.2,2022-01,,451.0,-0.37
314,Murkel Alejandro Dellien Velasco,27.5,1451.9,,325,1389.1,269,1438.6,277,1436.1,,1602.5,2022-01,,214.0,0.38
315,August Holmgren,26.9,1450.6,,306,1404.6,312,1400.4,223,1475.3,,1677.9,2021-09,,188.0,0.52
316,Jacopo Berrettini,26.3,1450.6,,337,1380.8,275,1435.1,297,1425.3,,1592.3,2024-05,,336.0,-0.06
317,Gonzalo Bueno,21.0,1450.2,,445,1261.6,272,1436.9,299,1425.1,,1518.7,2024-04,,327.0,-0.03
318,Henri Squire,24.5,1449.7,,310,1402.0,255,1449.1,457,1338.3,,1670.0,2024-06,,261.0,0.2
319,Alexey Vatutin,32.4,1448.7,,300,1409.8,331,1388.3,366,1388.3,,1637.3,2018-04,,313.0,0.02
320,Robert Strombachs,25.3,1448.5,,280,1436.5,335,1387.1,300,1424.2,,1448.5,2025-02,,333.0,-0.04
321,Rio Noguchi,26.3,1447.6,,299,1409.9,444,1271.4,383,1378.7,,1516.0,2022-10,,255.0,0.23
322,Inaki Montes De La Torre,22.5,1446.6,,319,1397.6,297,1415.3,302,1423.3,,1529.0,2025-02,,468.0,-0.37
323,Federico Agustin Gomez,28.3,1446.6,,344,1373.3,241,1460.2,301,1423.3,,1668.6,2024-09,,140.0,0.84
