Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
27‑Sep‑2021,Orleans CH,Hard,R32,124,99,Runed.(7)Gilles Simon[FRA],6-4 6-0,,2.00,2.3%,11.4%,52.3%,87.0%,61.9%,2/2,1:00,62.5%,50.0%,6.8%,36.0%,68.4%,4/5,88,1,5,44,23,21,3
20‑Sep‑2021,Metz,Hard,QF,133,16,(2)Pablo Carreno Busta[ESP]d.(Q)Rune,6-4 3-6 6-4,,0.93,8.5%,3.2%,56.4%,71.7%,53.7%,6/9,2:10,49.4%,33.7%,10.5%,22.2%,53.1%,2/3,180,8,3,94,53,41,9
20‑Sep‑2021,Metz,Hard,R16,133,24,(Q)Runed.(5)Lorenzo Sonego[ITA],6-7(6) 6-4 6-4,,1.50,6.6%,3.3%,60.4%,83.6%,61.1%,2/3,2:40,54.5%,37.8%,3.6%,31.6%,53.1%,3/7,202,6,3,91,55,36,4
20‑Sep‑2021,Metz,Hard,R32,133,119,(Q)Runed.(LL)Bernabe Zapata Miralles[ESP],6-0 6-0,,2.74,10.8%,5.4%,59.5%,77.3%,73.3%,1/1,0:47,70.6%,66.7%,4.2%,59.3%,76.2%,6/12,85,4,2,37,22,15,2
20‑Sep‑2021,Metz,Hard,Q2,133,107,(5)Runed.(3)Philipp Kohlschreiber[GER],5-7 6-3 7-5,,1.20,3.5%,0.0%,57.0%,67.3%,75.7%,1/4,1:58,52.9%,34.9%,1.2%,20.4%,59.4%,4/4,172,3,0,86,49,37,1
20‑Sep‑2021,Metz,Hard,Q1,133,227,(5)Runed.Thomas Fabbiano[ITA],3-6 6-3 6-4,,1.26,13.8%,5.0%,61.3%,75.5%,54.8%,1/3,2:09,52.1%,41.1%,2.7%,33.8%,52.3%,3/17,192,11,4,80,49,31,3
13‑Sep‑2021,Szczecin CH,Clay,QF,136,139,Kamil Majchrzak[POL]d.Rune,7-6(5) 6-1,,0.85,0.0%,6.7%,65.0%,56.4%,57.1%,5/7,2:00,44.7%,36.7%,0.0%,37.0%,36.1%,0/7,150,0,4,60,39,21,0
13‑Sep‑2021,Szczecin CH,Clay,R16,136,94,Runed.(2)Pablo Andujar[ESP],6-1 6-1,,3.49,5.9%,0.0%,61.8%,81.0%,84.6%,0/0,1:13,71.2%,61.5%,0.0%,54.2%,73.3%,5/6,73,2,0,34,21,13,0
13‑Sep‑2021,Szczecin CH,Clay,R32,136,112,Runed.Taro Daniel[JPN],6-3 7-5,,1.25,3.2%,4.8%,65.1%,68.3%,59.1%,5/7,1:31,55.1%,43.6%,3.6%,33.3%,63.2%,4/5,118,2,3,63,41,22,2
6‑Sep‑2021,Tulln CH,Clay,R32,145,114,(4)Kamil Majchrzak[POL]d.Rune,3-6 6-4 6-2,,0.77,1.3%,8.8%,62.5%,64.0%,46.7%,3/7,1:48,45.8%,32.9%,9.6%,20.9%,50.0%,3/5,153,1,7,80,50,30,7
