Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 Acapulco QF,W vsNishioka,1.06,1.50,45.9,2.0,23.1%,46.2%,27.3%,68.2%,63.6%,60.0%
2022 Acapulco R16,W vsAndujar,1.64,3.47,25.5,2.0,8.0%,68.0%,23.8%,81.0%,50.0%,61.1%
2022 Acapulco R32,W vsPaire,0.99,1.39,52.0,2.4,5.9%,73.5%,3.3%,53.3%,46.2%,55.3%
2022 Australian Open F,L vsNadal,0.87,0.92,61.6,19.6,12.9%,60.2%,12.4%,62.9%,39.6%,41.9%
2022 Australian Open SF,W vsTsitsipas,0.94,1.78,41.6,2.7,17.3%,82.7%,10.4%,81.3%,32.8%,35.7%
2022 Australian Open QF,W vsAuger Aliassime,1.15,1.06,51.2,12.5,5.8%,67.0%,9.7%,65.6%,31.9%,29.9%
2022 Australian Open R16,W vsCressy,1.08,1.63,41.1,2.2,13.0%,79.7%,10.0%,75.0%,29.4%,38.8%
2022 Australian Open R32,W vsVan De Zandschulp,1.21,1.71,28.4,2.1,13.6%,77.3%,11.9%,66.7%,40.0%,39.0%
2022 Australian Open R128,W vsLaaksonen,1.09,1.76,26.2,2.4,12.5%,68.8%,9.1%,75.0%,41.7%,50.0%
2022 Atp Cup RR,W vsBerrettini,0.90,1.33,52.0,2.3,6.4%,74.5%,13.6%,77.3%,35.7%,36.0%
2021 Tour Finals F,L vsZverev,0.66,0.46,31.3,2.2,6.7%,66.7%,3.6%,64.3%,23.3%,25.0%
2021 Tour Finals SF,W vsRuud,1.28,2.43,37.6,2.1,3.8%,84.6%,9.5%,71.4%,43.8%,36.7%
2021 Tour Finals RR,W vsHurkacz,1.04,1.42,49.6,4.1,19.1%,76.6%,14.3%,78.6%,28.9%,32.6%
2021 Tour Finals RR,W vsZverev,1.02,1.17,78.1,4.6,14.0%,75.4%,10.0%,70.0%,31.6%,30.8%
2021 Tour Finals RR,W vsSinner,1.01,1.30,93.5,7.8,21.8%,76.4%,8.5%,66.0%,28.3%,45.1%
2021 Paris F,L vsDjokovic,0.96,0.79,55.1,4.0,8.9%,48.9%,7.0%,60.5%,38.6%,35.7%
2021 Paris SF,W vsZverev,1.04,1.86,39.3,2.6,7.4%,85.2%,8.3%,58.3%,44.8%,53.6%
2021 Indian Wells R16,L vsDimitrov,0.92,0.81,45.6,51.8,7.1%,45.2%,5.1%,61.5%,40.4%,41.9%
2021 US Open F,W vsDjokovic,1.40,1.84,23.2,2.1,14.9%,70.2%,20.9%,72.1%,29.8%,46.7%
2021 US Open SF,W vsAuger Aliassime,1.04,1.73,27.6,2.2,17.8%,64.4%,9.8%,80.5%,44.7%,47.7%
2021 US Open QF,W vsVan De Zandschulp,1.04,1.67,30.4,2.0,19.6%,80.4%,6.3%,66.7%,44.1%,40.0%
2021 US Open R16,W vsEvans,1.16,2.11,26.3,2.0,17.5%,72.5%,15.8%,76.3%,55.0%,37.8%
2021 US Open R32,W vsAndujar,1.08,1.79,26.1,2.0,16.2%,59.5%,8.8%,76.5%,55.1%,52.2%
2021 US Open R64,W vsKoepfer,1.00,1.95,25.9,2.1,15.6%,78.1%,11.1%,70.4%,52.2%,46.5%
2021 US Open R128,W vsGasquet,0.95,2.16,32.2,2.1,20.0%,74.3%,24.2%,84.8%,52.8%,40.4%
2021 Cincinnati SF,L vsRublev,0.87,0.80,55.0,4.6,5.9%,54.9%,10.2%,61.2%,37.8%,40.0%
2021 Cincinnati QF,W vsCarreno Busta,1.16,3.52,29.2,2.1,36.8%,84.2%,13.3%,80.0%,48.1%,60.0%
2021 Canada F,W vsOpelka,1.05,1.82,39.9,2.7,7.4%,70.4%,16.0%,80.0%,30.0%,57.9%
2021 Canada SF,W vsIsner,1.18,3.46,27.1,2.1,28.6%,95.2%,25.0%,70.0%,61.5%,37.5%
2021 Canada QF,W vsHurkacz,1.30,0.95,82.1,8.2,18.6%,69.5%,23.2%,69.6%,17.3%,27.7%
2021 Tokyo Olympics QF,L vsCarreno Busta,0.78,0.69,52.8,2.2,6.3%,65.6%,6.7%,60.0%,40.0%,25.0%
2021 Tokyo Olympics R64,W vsBublik,0.99,1.39,60.2,2.0,18.4%,65.8%,10.8%,75.7%,46.3%,35.9%
2021 Wimbledon R16,L vsHurkacz,0.78,0.86,42.4,4.7,9.5%,74.3%,9.1%,63.6%,34.1%,34.2%
2021 Wimbledon R32,W vsCilic,1.22,1.26,33.2,9.6,12.3%,65.4%,8.0%,56.0%,40.5%,40.3%
2021 Wimbledon R64,W vsAlcaraz,0.95,1.91,26.9,2.0,8.8%,73.5%,10.0%,76.7%,50.0%,50.0%
2021 Wimbledon R128,W vsStruff,1.02,1.44,38.7,2.0,11.1%,68.3%,17.0%,77.4%,35.6%,42.6%
2021 Mallorca F,W vsQuerrey,1.39,2.81,34.3,2.2,20.8%,75.0%,23.8%,85.7%,36.7%,44.4%
2021 Roland Garros QF,L vsTsitsipas,0.98,0.65,32.9,2.1,3.6%,50.9%,5.8%,69.2%,25.9%,27.1%
2021 Roland Garros R16,W vsGarin,1.10,1.90,24.6,2.2,22.0%,75.6%,13.5%,67.6%,42.6%,55.6%
2021 Roland Garros R32,W vsOpelka,1.10,2.03,23.8,2.7,15.4%,74.4%,11.8%,76.5%,53.3%,37.2%
2021 Roland Garros R64,W vsPaul,0.93,1.32,32.7,3.2,6.4%,63.8%,2.4%,66.7%,46.7%,52.6%
2021 Roland Garros R128,W vsBublik,1.05,1.53,28.8,2.6,10.2%,67.3%,4.9%,63.4%,45.1%,55.1%
2021 Marseille F,W vsHerbert,1.07,1.26,60.8,2.1,9.4%,69.8%,17.8%,71.1%,30.2%,40.0%
2021 Marseille QF,W vsSinner,1.35,2.23,36.1,2.1,14.8%,70.4%,13.0%,78.3%,43.3%,42.3%
2021 Australian Open F,L vsDjokovic,0.82,0.59,28.1,2.1,5.0%,52.5%,10.8%,59.5%,35.7%,27.8%
2021 Australian Open SF,W vsTsitsipas,1.00,1.75,28.7,2.1,20.9%,69.8%,20.5%,79.5%,39.6%,50.0%
2021 Australian Open QF,W vsRublev,1.16,1.54,33.5,2.1,19.6%,76.1%,11.4%,61.4%,40.9%,41.5%
