Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2020 Tour Finals RR,L vsMedvedev,0.88,0.55,41.7,2.3,2.9%,65.7%,6.1%,48.5%,20.0%,34.6%
2020 Vienna QF,L vsSonego,0.70,0.43,29.2,2.1,0.0%,50.0%,8.0%,44.0%,37.0%,28.0%
2020 Roland Garros F,L vsNadal,0.98,0.64,28.1,2.1,0.0%,49.0%,2.1%,50.0%,39.5%,26.8%
2020 Roland Garros SF,W vsTsitsipas,0.96,1.18,45.2,2.3,5.0%,57.5%,1.4%,71.2%,44.8%,43.2%
2020 Roland Garros QF,W vsCarreno Busta,1.09,1.25,47.7,4.0,1.5%,59.7%,1.6%,67.2%,41.7%,42.3%
2020 Roland Garros R16,W vsKhachanov,1.02,1.44,32.3,2.1,2.1%,59.6%,2.4%,73.8%,45.6%,50.0%
2020 Roland Garros R32,W vsGalan,1.08,1.88,23.6,2.0,0.0%,68.4%,5.6%,69.4%,44.9%,64.4%
2020 Roland Garros R64,W vsBerankis,1.67,3.30,19.2,2.1,17.1%,82.9%,12.9%,64.5%,53.3%,47.8%
2020 Roland Garros R128,W vsYmer,0.95,1.86,24.9,2.0,6.7%,66.7%,0.0%,71.4%,64.1%,57.6%
2020 Rome F,W vsSchwartzman,1.06,1.33,54.9,3.6,2.7%,70.3%,3.0%,48.5%,41.2%,59.4%
2020 Rome SF,W vsRuud,1.04,1.35,53.1,3.9,15.0%,62.5%,15.4%,71.8%,40.5%,45.2%
2020 US Open R32,W vsStruff,1.17,1.90,27.7,2.2,4.7%,74.4%,5.3%,68.4%,42.5%,50.0%
2020 US Open R64,W vsEdmund,0.92,1.57,37.2,3.4,12.3%,71.9%,17.6%,78.4%,42.5%,42.4%
2020 US Open R128,W vsDzumhur,0.94,1.48,33.7,2.2,7.0%,69.8%,5.1%,61.5%,60.4%,46.8%
2020 Cincinnati F,W vsRaonic,1.37,1.31,60.8,4.9,2.4%,61.0%,2.9%,62.9%,39.5%,33.3%
2020 Cincinnati SF,W vsBautista Agut,1.12,1.21,78.9,17.0,13.2%,58.5%,14.0%,56.0%,50.9%,41.5%
2020 Dubai F,W vsTsitsipas,1.17,1.63,49.7,2.3,6.7%,76.7%,0.0%,63.0%,40.0%,43.5%
2020 Australian Open F,W vsThiem,1.01,1.21,46.3,5.1,4.1%,63.0%,9.8%,72.1%,34.1%,45.1%
2020 Australian Open SF,W vsFederer,1.10,1.44,35.1,3.1,10.9%,63.6%,10.6%,72.3%,40.4%,44.2%
2020 Australian Open QF,W vsRaonic,1.11,1.69,38.2,2.2,5.8%,76.9%,2.0%,71.4%,45.5%,32.3%
2020 Australian Open R16,W vsSchwartzman,1.13,1.77,27.2,2.1,6.8%,72.7%,11.9%,71.4%,43.5%,44.2%
2020 Australian Open R32,W vsNishioka,1.97,6.80,15.7,2.0,31.3%,93.8%,23.3%,80.0%,44.7%,44.4%
2020 Australian Open R64,W vsIto,1.24,3.27,25.3,2.0,28.6%,80.0%,20.7%,86.2%,45.0%,45.9%
2020 Australian Open R128,W vsStruff,1.08,1.51,27.8,2.0,16.0%,78.0%,14.3%,54.8%,45.0%,46.2%
2020 Atp Cup F,W vsNadal,1.03,1.69,53.1,2.1,17.6%,82.4%,20.0%,73.3%,40.5%,30.3%
2020 Atp Cup SF,W vsMedvedev,1.01,1.18,72.5,2.8,6.8%,59.3%,0.0%,65.4%,38.2%,50.9%
2019 Tour Finals RR,L vsFederer,0.96,0.46,36.3,2.1,0.0%,50.0%,6.7%,56.7%,32.0%,12.5%
2019 Tour Finals RR,W vsBerrettini,0.97,2.26,36.3,2.1,9.1%,68.2%,11.1%,83.3%,54.2%,62.5%
2019 Tour Finals RR,L vsThiem,0.80,0.86,79.7,7.0,10.2%,67.3%,9.1%,59.1%,40.9%,37.3%
2019 Paris F,W vsShapovalov,1.28,2.47,35.4,2.0,3.7%,77.8%,4.2%,83.3%,37.9%,37.5%
