Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Geneva F,W vsShapovalov,1.08,1.75,52.6,2.3,6.3%,75.0%,7.1%,85.7%,28.2%,37.1%
2021 Madrid SF,L vsBerrettini,0.80,0.34,40.3,2.2,3.0%,51.5%,0.0%,72.4%,19.2%,13.0%
2021 Madrid QF,W vsBublik,1.01,1.86,51.7,2.3,10.7%,82.1%,7.7%,69.2%,43.8%,44.8%
2021 Madrid R16,W vsTsitsipas,1.61,1.47,49.2,2.2,8.1%,81.1%,3.2%,64.5%,24.2%,24.1%
2021 Madrid R32,W vsNishioka,1.32,2.91,28.7,2.0,17.4%,65.2%,19.0%,85.7%,52.4%,57.9%
2021 Madrid R64,W vsAuger Aliassime,1.22,2.13,41.2,2.0,14.3%,78.6%,4.2%,66.7%,45.7%,48.5%
2021 Monte Carlo SF,L vsRublev,0.84,0.66,46.3,2.7,6.9%,51.7%,0.0%,47.8%,37.5%,41.4%
2021 Monte Carlo R32,W vsSchwartzman,1.48,2.46,34.3,2.3,7.7%,80.8%,4.5%,72.7%,47.8%,26.3%
2021 Acapulco R32,W vsGalan,1.20,2.58,36.5,2.1,7.7%,80.8%,0.0%,77.3%,42.3%,47.6%
2021 Australian Open R16,L vsRublev,0.94,0.66,48.9,2.0,9.7%,54.8%,7.1%,57.1%,33.3%,28.6%
2021 Australian Open R32,W vsAlbot,0.87,1.50,38.7,2.3,11.3%,77.4%,6.3%,75.0%,41.8%,40.3%
2021 Australian Open R64,W vsPaul,1.12,1.25,43.5,3.3,8.7%,59.4%,7.9%,69.8%,38.7%,40.7%
2020 Roland Garros R32,L vsThiem,0.87,0.64,34.2,2.6,2.4%,52.4%,0.0%,52.6%,43.8%,25.5%
2020 Roland Garros R64,W vsPaul,1.16,1.28,48.8,2.2,4.8%,72.6%,0.0%,59.6%,38.1%,35.7%
2020 Roland Garros R128,W vsSugita,1.22,2.61,17.7,2.0,2.9%,67.6%,3.2%,80.6%,54.8%,57.5%
2020 Hamburg SF,L vsRublev,0.87,0.64,44.7,2.2,0.0%,53.3%,0.0%,40.7%,41.4%,35.7%
2020 Rome SF,L vsDjokovic,0.97,0.74,53.1,3.9,2.4%,59.5%,2.4%,54.8%,37.5%,28.2%
2020 Rome QF,W vsBerrettini,1.07,1.17,79.4,5.6,3.8%,66.0%,4.0%,68.0%,42.6%,28.8%
2020 US Open R32,L vsBerrettini,0.82,0.58,27.6,2.1,2.2%,60.0%,2.4%,63.4%,21.7%,33.3%
2020 US Open R128,W vsMcdonald,1.06,1.18,44.5,30.6,8.0%,64.0%,6.9%,62.5%,35.6%,46.3%
2020 Santiago F,L vsSeyboth Wild,0.86,0.79,55.8,3.4,4.8%,54.8%,5.3%,68.4%,35.2%,36.0%
2020 Santiago SF,W vsRamos,1.03,1.57,63.5,2.3,8.8%,76.5%,6.5%,71.0%,42.9%,36.4%
2020 Santiago R16,W vsTabilo,1.20,1.39,55.8,3.0,11.4%,65.7%,9.7%,67.7%,41.2%,35.5%
2020 Buenos Aires F,W vsSousa,1.30,2.43,32.9,2.0,8.0%,80.0%,4.3%,73.9%,30.8%,56.5%
2020 Buenos Aires SF,W vsLondero,1.11,1.56,46.3,24.5,14.0%,72.1%,12.8%,74.4%,35.1%,40.6%
2020 Atp Cup RR,W vsFognini,1.20,2.34,33.7,2.2,8.0%,84.0%,0.0%,61.9%,52.0%,50.0%
2019 US Open R128,L vsStruff,1.00,0.52,27.9,2.2,1.7%,51.7%,5.4%,58.9%,16.7%,31.4%
2019 Cincinnati R64,L vsPella,0.92,1.00,63.6,3.9,-,60.0%,-,71.1%,39.1%,35.7%
2019 Kitzbuhel QF,W vsCuevas,1.40,1.63,46.5,2.3,-,80.0%,-,58.1%,33.3%,37.9%
2019 Kitzbuhel R32,W vsCarreno Busta,0.98,1.59,47.6,2.2,-,62.2%,-,79.4%,50.0%,45.7%
2019 Hamburg R16,L vsRublev,1.03,0.70,53.0,7.5,-,59.2%,-,58.7%,25.6%,30.0%
2019 Hamburg R32,W vsHaase,1.35,1.35,56.1,2.8,-,62.2%,-,65.1%,37.1%,35.5%
2019 Bastad R32,L vsDzumhur,1.14,0.66,52.4,2.5,-,50.0%,-,48.5%,29.6%,29.2%
2019 Wimbledon R128,L vsIsner,0.78,0.62,30.4,2.0,6.3%,81.3%,9.8%,61.0%,13.7%,32.6%
2019 Prostejov CH SF,L vsAndujar,0.81,0.53,38.2,2.0,-,42.9%,-,58.3%,40.0%,25.0%
2019 Prostejov CH QF,W vsGaio,1.13,1.25,61.4,2.2,-,60.5%,-,63.9%,45.3%,38.0%
2019 Prostejov CH R16,W vsSafranek,1.29,4.19,24.6,2.1,-,75.0%,-,86.7%,65.0%,64.7%
2019 Prostejov CH R32,W vsDenolly,1.22,1.56,45.8,4.1,-,77.8%,-,57.1%,33.3%,50.0%
2019 Roland Garros R32,L vsFederer,0.97,0.68,35.3,2.2,3.6%,56.4%,0.0%,55.8%,30.0%,31.9%
2019 Roland Garros R64,W vsBerrettini,1.01,1.47,39.4,2.1,1.9%,71.7%,6.0%,70.0%,45.5%,38.5%
2019 Roland Garros R64,W vsBerrettini,1.01,1.47,39.4,2.1,1.9%,71.7%,6.0%,70.0%,45.5%,38.5%
2019 Roland Garros R128,W vsGulbis,0.93,1.72,32.3,2.0,7.3%,70.7%,8.3%,77.8%,40.9%,55.8%
2019 Rome R16,L vsdel Potro,0.76,0.61,39.6,3.0,0.0%,62.5%,6.9%,58.6%,27.3%,36.7%
2019 Houston F,L vsGarin,0.91,0.86,66.7,2.8,5.7%,58.5%,0.0%,67.4%,42.9%,26.5%
2019 Houston SF,W vsGalan,1.17,1.67,44.2,3.7,0.0%,77.4%,0.0%,65.5%,40.0%,40.7%
2019 Houston QF,W vsGranollers,1.07,2.22,34.6,2.3,0.0%,69.6%,0.0%,72.7%,47.6%,73.7%
2019 Houston R16,W vsOpelka,1.21,1.40,51.0,4.0,7.1%,71.4%,0.0%,80.0%,26.2%,30.6%
2019 Houston R32,W vsDellien,1.13,1.50,57.2,3.1,10.5%,84.2%,6.1%,60.6%,31.7%,39.5%
2019 Monterrey CH R32,L vsGomez,0.81,0.20,34.5,2.0,3.3%,60.0%,0.0%,57.7%,14.3%,5.3%
2019 Miami R128,L vsAuger Aliassime,1.01,0.81,54.2,4.1,2.3%,52.3%,2.5%,50.0%,35.9%,42.9%
2019 Phoenix CH R16,L vsGoffin,0.99,0.82,73.8,2.8,3.8%,58.5%,2.1%,64.6%,37.0%,26.7%
2019 Phoenix CH R32,W vsYmer,1.08,1.40,44.2,4.0,5.7%,71.4%,6.7%,56.7%,54.8%,36.6%
2019 Sao Paulo SF,L vsGarin,0.77,0.63,45.8,2.1,13.3%,56.7%,3.7%,66.7%,29.0%,34.6%
2019 Sao Paulo QF,W vsDellien,1.29,2.70,29.7,2.1,4.8%,66.7%,10.5%,78.9%,61.9%,52.6%
2019 Sao Paulo R16,W vsSousa,1.47,1.83,40.0,2.0,7.1%,75.0%,4.0%,64.0%,42.3%,31.8%
2019 Sao Paulo R32,W vsMonteiro,1.38,1.76,41.0,2.0,6.5%,74.2%,11.1%,70.4%,44.4%,25.0%
2019 Rio de Janeiro QF,L vsDjere,0.93,0.72,47.3,2.2,2.8%,66.7%,0.0%,48.5%,38.7%,25.0%
2019 Rio de Janeiro R16,W vsSousa,0.98,1.22,68.7,2.8,9.1%,59.1%,2.5%,62.5%,53.3%,44.2%
2019 Rio de Janeiro R32,W vsBerlocq,1.13,2.10,32.6,2.0,0.0%,74.1%,0.0%,65.4%,60.0%,52.2%
