Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 Miami R64,W vsRuusuvuori,1.20,1.13,94.3,12.7,3.8%,56.6%,2.1%,70.8%,30.0%,39.6%
2022 Dubai QF,L vsHurkacz,0.78,0.50,38.1,2.2,3.2%,54.8%,10.3%,62.1%,40.7%,9.1%
2022 Australian Open QF,L vsTsitsipas,0.56,0.44,20.5,2.2,5.6%,69.4%,6.7%,60.0%,23.8%,30.6%
2022 Australian Open R64,W vsJohnson,1.24,2.36,24.0,2.0,12.8%,79.5%,18.8%,75.0%,43.2%,42.5%
2022 Atp Cup RR,W vsSafiullin,1.23,1.25,68.4,3.2,11.1%,53.3%,11.1%,71.1%,44.4%,32.4%
2021 Davis Cup RR,W vsGalan,0.95,1.50,46.4,2.3,3.7%,59.3%,0.0%,70.8%,51.9%,60.0%
2021 Tour Finals RR,W vsHurkacz,1.27,1.79,38.8,2.4,8.6%,62.9%,5.9%,64.7%,48.0%,54.5%
2021 Tour Finals RR,L vsMedvedev,1.03,0.80,93.5,7.8,5.7%,71.7%,3.9%,54.9%,23.6%,34.0%
2021 Paris R32,L vsAlcaraz,0.92,0.70,53.0,2.7,4.4%,57.8%,7.5%,62.5%,25.6%,36.1%
2021 Vienna SF,L vsTiafoe,0.86,0.80,52.7,42.8,11.1%,60.0%,7.5%,57.5%,37.7%,39.6%
2021 Vienna QF,W vsRuud,1.18,1.61,40.3,2.4,21.9%,68.8%,10.0%,60.0%,60.6%,35.5%
2021 Vienna R32,W vsOpelka,1.39,3.88,32.0,2.2,4.3%,87.0%,0.0%,84.2%,50.0%,29.2%
2021 Antwerp F,W vsSchwartzman,1.63,3.80,21.4,2.1,30.4%,78.3%,4.8%,76.2%,53.8%,52.2%
2021 Antwerp QF,W vsRinderknech,1.03,2.06,42.2,2.1,8.3%,79.2%,9.5%,76.2%,46.7%,42.3%
2021 Sofia F,W vsMonfils,1.47,2.21,33.5,2.0,7.1%,82.1%,0.0%,73.1%,33.3%,33.3%
2021 US Open R16,L vsZverev,0.82,0.73,37.3,2.4,5.4%,67.9%,4.0%,60.0%,31.6%,32.0%
2021 US Open R32,W vsMonfils,1.06,1.18,46.8,3.1,1.1%,62.1%,5.1%,63.3%,43.0%,40.5%
2021 US Open R64,W vsSvajda,1.10,1.22,41.3,2.1,3.6%,66.3%,6.8%,62.2%,39.2%,39.4%
2021 US Open R128,W vsPurcell,1.06,1.45,29.7,2.2,9.1%,63.6%,13.2%,73.6%,50.0%,35.0%
2021 Washington F,W vsMcdonald,1.02,1.11,73.7,2.1,10.5%,63.2%,6.0%,60.0%,39.7%,43.5%
2021 Washington SF,W vsBrooksby,1.00,1.85,50.5,3.4,6.5%,74.2%,15.4%,80.8%,48.4%,35.7%
2021 Washington QF,W vsJohnson,1.09,2.01,40.2,2.3,18.5%,77.8%,8.3%,75.0%,46.4%,40.0%
2021 Washington R16,W vsKorda,1.17,1.31,55.2,2.6,6.8%,65.9%,0.0%,61.5%,39.0%,42.1%
2021 Washington R32,W vsRuusuvuori,1.18,2.12,40.0,2.0,7.7%,80.8%,4.3%,69.6%,41.9%,46.4%
2021 Wimbledon R128,L vsFucsovics,0.94,0.83,48.2,3.7,2.8%,53.5%,0.0%,57.4%,42.3%,36.8%
2021 Roland Garros R16,L vsNadal,1.19,0.70,28.7,2.9,0.0%,35.0%,0.0%,47.2%,38.1%,31.7%
2021 Roland Garros R32,W vsYmer,0.96,1.44,35.2,2.1,4.1%,61.2%,7.0%,76.7%,41.8%,52.9%
2021 Roland Garros R64,W vsMager,1.02,1.55,33.2,2.1,12.0%,82.0%,4.3%,66.0%,38.7%,40.0%
2021 Roland Garros R128,W vsHerbert,1.02,1.21,48.8,12.5,2.4%,62.2%,4.2%,68.1%,48.8%,33.8%
2021 Barcelona QF,W vsRublev,1.12,1.35,61.1,2.4,8.3%,63.9%,3.0%,60.6%,52.9%,36.7%
2021 Miami F,L vsHurkacz,0.86,0.74,51.4,3.3,2.5%,45.0%,0.0%,60.5%,35.1%,46.9%
2021 Miami SF,W vsBautista Agut,1.14,1.22,68.0,8.2,3.8%,51.9%,6.3%,72.9%,40.4%,40.5%
2021 Miami QF,W vsBublik,1.08,1.22,60.4,3.6,2.4%,57.1%,2.6%,66.7%,45.7%,40.5%
2021 Miami R16,W vsRuusuvuori,1.26,1.70,45.8,2.7,7.1%,67.9%,8.0%,64.0%,45.8%,45.5%
2021 Dubai QF,L vsKaratsev,1.05,0.77,63.6,4.4,10.9%,58.2%,7.4%,59.3%,22.9%,38.6%
2021 Marseille QF,L vsMedvedev,0.76,0.46,36.1,2.1,3.3%,56.7%,3.8%,57.7%,29.6%,21.7%
2021 Australian Open R128,L vsShapovalov,0.90,0.87,52.0,3.7,2.7%,70.7%,2.9%,55.7%,37.8%,32.0%
2021 Great Ocean Road Open F,W vsTravaglia,1.05,1.25,63.4,3.1,0.0%,55.8%,0.0%,65.0%,47.9%,46.8%
2020 Sofia F,W vsPospisil,1.22,1.19,70.5,2.8,4.1%,67.3%,4.7%,69.8%,24.0%,37.5%
2020 Roland Garros QF,L vsNadal,0.95,0.73,41.0,2.8,0.0%,45.8%,4.4%,60.0%,34.0%,38.3%
2020 Roland Garros R16,W vsZverev,1.29,1.38,30.6,2.1,2.7%,67.6%,1.4%,59.4%,38.6%,39.2%
2020 Roland Garros R32,W vsCoria,1.05,1.28,36.9,2.6,0.0%,59.6%,0.0%,60.4%,47.4%,50.0%
2020 Roland Garros R64,W vsBonzi,1.45,1.93,22.0,2.0,4.3%,68.1%,2.2%,60.9%,40.0%,55.0%
2020 Roland Garros R128,W vsGoffin,0.97,1.52,32.0,2.1,4.7%,72.1%,0.0%,62.2%,51.1%,50.0%
2020 Rome R32,W vsTsitsipas,0.82,1.29,58.8,2.2,2.4%,66.7%,0.0%,71.8%,46.2%,51.0%
2020 US Open R128,L vsKhachanov,1.08,0.82,59.2,10.1,7.1%,60.6%,5.4%,62.0%,36.3%,22.8%
2020 Montpellier R32,L vsYmer,0.80,0.59,41.0,2.0,3.7%,59.3%,4.0%,52.0%,36.7%,28.6%
2020 Australian Open R64,L vsFucsovics,0.83,0.68,30.2,2.1,0.0%,53.8%,0.0%,51.0%,44.4%,32.6%
