Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Wimbledon F,W vsDjokovic,50% (13/26),36% (5/14),3/7,1/4,67% (2/3),0/0,0/0,83% (5/6),40% (2/5)
2024 Wimbledon SF,W vsMedvedev,78% (18/23),40% (6/15),3/5,1/1,0% (0/3),0/1,0/0,25% (1/4),0% (0/4)
2024 Wimbledon QF,W vsPaul,63% (15/24),30% (8/27),3/3,1/1,60% (6/10),0/1,0/0,- (0/0),- (0/0)
2024 Wimbledon R16,W vsHumbert,58% (14/24),75% (6/8),3/4,1/1,62% (8/13),0/1,0/0,- (0/0),- (0/0)
2024 Wimbledon R32,W vsTiafoe,71% (22/31),63% (5/8),3/3,1/1,70% (7/10),1/3,0/0,100% (5/5),50% (2/4)
2024 Wimbledon R64,W vsVukic,80% (12/15),55% (6/11),3/4,1/1,33% (1/3),0/0,0/0,67% (4/6),50% (3/6)
2024 Wimbledon R128,W vsLajal,82% (14/17),50% (5/10),3/4,1/2,50% (2/4),0/0,0/0,80% (4/5),60% (3/5)
2024 Queen's Club R16,L vsDraper,53% (9/17),0% (0/1),0/0,0/0,75% (3/4),5/7,3/4,60% (3/5),0% (0/5)
2024 Roland Garros F,W vsZverev,55% (16/29),56% (9/16),3/3,1/1,74% (17/23),1/3,0/0,- (0/0),- (0/0)
2024 Roland Garros SF,W vsSinner,53% (17/32),43% (6/14),3/5,1/3,40% (4/10),2/4,0/0,- (0/0),- (0/0)
2024 Roland Garros QF,W vsTsitsipas,88% (14/16),67% (4/6),3/4,1/1,50% (1/2),0/0,0/0,80% (4/5),60% (3/5)
2024 Roland Garros R16,W vsAuger Aliassime,67% (12/18),38% (6/16),3/4,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R32,W vsKorda,74% (14/19),33% (4/12),3/4,1/1,33% (1/3),0/0,0/0,50% (3/6),67% (4/6)
2024 Roland Garros R64,W vsDe Jong,60% (12/20),44% (8/18),3/3,1/1,58% (7/12),0/1,0/0,- (0/0),- (0/0)
2024 Roland Garros R128,W vsWolf,75% (9/12),64% (9/14),3/5,1/2,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2024 Madrid QF,L vsRublev,83% (10/12),13% (1/8),1/3,0/0,77% (10/13),1/3,0/1,- (0/0),- (0/0)
2024 Madrid R64,W vsShevchenko,83% (5/6),64% (7/11),2/2,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Miami QF,L vsDimitrov,50% (5/10),20% (1/5),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2024 Miami R16,W vsMusetti,62% (8/13),36% (4/11),2/3,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2024 Miami R32,W vsMonfils,100% (8/8),67% (4/6),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Miami R64,W vsCarballes Baena,54% (7/13),56% (5/9),2/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2024 Indian Wells F,W vsMedvedev,75% (9/12),30% (3/10),2/2,1/1,50% (1/2),0/0,0/0,83% (5/6),33% (2/6)
2024 Indian Wells SF,W vsSinner,71% (10/14),50% (3/6),2/4,1/3,50% (2/4),1/2,0/0,- (0/0),- (0/0)
2024 Indian Wells QF,W vsZverev,89% (8/9),80% (4/5),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Indian Wells R16,W vsMarozsan,75% (9/12),38% (3/8),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2024 Indian Wells R32,W vsAuger Aliassime,89% (8/9),57% (4/7),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2024 Indian Wells R64,W vsArnaldi,86% (12/14),46% (6/13),2/7,1/1,75% (3/4),1/2,0/0,50% (3/6),33% (2/6)
2024 Buenos Aires QF,W vsVavassori,59% (10/17),25% (2/8),2/4,1/2,100% (1/1),0/0,0/0,75% (3/4),100% (4/4)
2024 Buenos Aires R16,W vsUgo Carabelli,50% (6/12),39% (7/18),2/4,1/3,56% (5/9),0/0,0/0,- (0/0),- (0/0)
2024 Australian Open R16,W vsKecmanovic,65% (13/20),56% (5/9),3/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2023 Tour Finals SF,L vsDjokovic,50% (5/10),0% (0/4),0/0,0/0,63% (5/8),1/3,1/2,- (0/0),- (0/0)
2023 Tour Finals RR,W vsMedvedev,77% (10/13),40% (2/5),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2023 Tour Finals RR,W vsRublev,77% (10/13),50% (3/6),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2023 Tour Finals RR,L vsZverev,80% (12/15),17% (1/6),1/4,0/0,63% (5/8),0/2,0/1,100% (5/5),40% (2/5)
2023 Paris R32,L vsSafiullin,100% (5/5),50% (2/4),0/0,0/0,50% (4/8),1/3,1/2,- (0/0),- (0/0)
2023 Shanghai R16,L vsDimitrov,85% (11/13),40% (2/5),1/2,0/0,20% (1/5),1/3,1/2,- (0/0),- (0/0)
2023 Beijing SF,L vsSinner,56% (5/9),22% (2/9),0/0,0/0,38% (3/8),0/2,0/1,33% (2/6),40% (2/5)
2023 Beijing QF,W vsRuud,57% (8/14),27% (4/15),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 US Open SF,L vsMedvedev,45% (15/33),11% (1/9),1/3,0/0,57% (4/7),4/7,3/4,40% (2/5),20% (1/5)
2023 US Open QF,W vsZverev,67% (14/21),100% (4/4),3/3,1/1,100% (5/5),0/0,0/0,- (0/0),- (0/0)
