Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2011 Australian Open R128,W vsGranollers,58% (11/19),58% (7/12),3/4,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2010 Tour Finals SF,L vsFederer,50% (4/8),100% (1/1),0/0,0/0,64% (7/11),0/2,0/1,- (0/0),- (0/0)
2010 Tour Finals RR,W vsBerdych,64% (9/14),43% (3/7),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2010 Tour Finals RR,L vsNadal,67% (6/9),20% (1/5),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2010 Tour Finals RR,W vsRoddick,75% (9/12),100% (3/3),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2010 Basel F,L vsFederer,77% (10/13),20% (1/5),1/2,0/0,63% (5/8),1/3,0/1,- (0/0),- (0/0)
2010 Shanghai SF,L vsFederer,50% (8/16),20% (1/5),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2010 Beijing F,W vsFerrer,67% (8/12),67% (4/6),2/3,1/2,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2010 US Open F,L vsNadal,67% (14/21),75% (3/4),1/1,0/0,77% (20/26),0/3,0/1,- (0/0),- (0/0)
2010 US Open SF,W vsFederer,77% (23/30),50% (6/12),3/3,1/1,57% (4/7),3/5,2/2,- (0/0),- (0/0)
2010 US Open QF,W vsMonfils,65% (11/17),39% (7/18),3/6,1/1,85% (11/13),0/0,0/0,60% (3/5),100% (4/4)
2010 Cincinnati QF,L vsRoddick,80% (8/10),33% (1/3),0/0,0/0,50% (3/6),1/3,0/1,- (0/0),- (0/0)
2010 Canada SF,L vsFederer,32% (9/28),33% (3/9),1/2,0/0,58% (7/12),2/4,0/1,- (0/0),- (0/0)
2010 Wimbledon SF,L vsBerdych,85% (11/13),25% (1/4),0/2,0/0,57% (4/7),7/10,1/2,70% (7/10),20% (2/10)
2010 Wimbledon R128,W vsRochus,76% (16/21),43% (9/21),3/7,1/1,59% (10/17),1/3,0/0,- (0/0),- (0/0)
2010 Monte Carlo SF,L vsVerdasco,27% (3/11),33% (1/3),0/0,0/0,58% (7/12),0/2,0/1,- (0/0),- (0/0)
2010 Dubai F,W vsYouzhny,55% (11/20),64% (7/11),2/3,1/2,50% (6/12),0/1,0/0,- (0/0),- (0/0)
