Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
71,Daniel Altmaier,3,33.3,59.7,57.8,7.1,1.8,5.1,65.0,64.7,50.5,53.2,77.3,6.4,33.6,34.7,8.2,2.6,32.0,36.6,6.1,9.0,8.0,50.0,12,0.27,1.3,4.0,0.67,2.0,47.4,0.43,2.1,6.3,1.11,3.3,47.0,50.0,33.3
72,Hamad Medjedovic,1,0.0,61.1,62.1,1.9,2.8,7.9,64.8,67.1,50.0,54.3,75.0,6.8,42.7,40.0,6.0,8.5,31.3,58.0,7.3,4.0,4.0,38.5,13,0.81,4.3,13.0,1.67,5.0,50.0,0.5,2.7,8.0,1.33,4.0,51.6,0.0,33.3
73,Bu Yunchaokete,3,33.3,59.9,57.9,8.3,2.5,5.2,52.5,71.7,47.0,49.5,80.0,6.9,29.2,31.8,14.4,2.8,21.4,41.2,6.0,6.0,5.0,44.4,9,0.25,1.3,3.0,0.57,1.3,68.2,0.63,3.1,7.3,1.0,2.3,45.4,0.0,28.6
74,Yoshihito Nishioka,4,0.0,60.7,60.7,3.7,2.4,6.1,59.8,67.3,50.8,54.0,76.9,6.3,28.4,32.5,17.3,2.3,21.9,38.9,6.4,7.5,7.8,10.3,29,0.55,2.6,7.3,0.27,0.8,52.0,0.48,2.3,6.3,1.09,3.0,44.2,0.0,18.2
75,Arthur Rinderknech,4,0.0,63.1,59.6,14.6,4.1,10.2,59.7,73.0,48.4,53.9,75.8,6.3,29.3,33.0,16.5,2.5,16.2,46.5,6.3,7.0,7.3,24.2,33,0.52,2.5,8.3,0.62,2.0,62.5,0.65,3.1,10.0,1.15,3.8,45.9,0.0,30.8
76,Alexander Bublik,3,33.3,57.4,57.0,10.7,7.4,18.5,60.3,71.3,36.1,44.3,68.4,7.2,32.9,32.5,5.3,3.1,30.0,37.5,6.2,5.0,6.3,46.7,15,0.41,2.1,5.0,1.0,2.3,63.6,0.87,4.7,11.0,1.71,4.0,46.2,33.3,28.6
77,Roman Safiullin,6,0.0,55.5,55.1,5.7,4.0,8.9,55.5,68.6,39.1,42.9,65.6,6.6,30.1,30.2,7.5,3.0,21.4,45.1,5.8,3.5,4.0,30.0,20,0.32,1.4,3.3,0.43,1.0,66.1,1.02,4.4,10.3,1.5,3.5,43.5,0.0,14.3
78,Hugo Gaston,2,50.0,58.7,56.7,5.3,0.5,1.3,59.8,64.6,50.0,50.7,73.3,6.3,36.2,38.1,8.5,2.1,24.0,60.3,6.3,6.5,6.5,36.8,19,0.63,3.2,9.5,1.17,3.5,55.6,0.6,3.0,9.0,1.33,4.0,47.5,-,50.0
79,Aleksandar Vukic,4,25.0,58.3,57.1,6.6,3.0,7.6,60.9,70.7,39.0,42.2,68.1,6.4,28.6,30.0,13.9,4.0,19.9,45.3,5.5,4.0,4.5,46.2,13,0.28,1.3,3.3,0.6,1.5,59.5,0.79,3.7,9.3,1.5,3.8,44.8,0.0,30.0
80,Aleksandar Kovacevic,3,0.0,59.7,57.5,10.3,3.9,9.5,59.2,74.6,37.9,41.9,70.3,6.3,28.0,30.5,15.1,3.0,21.1,38.9,5.9,7.0,7.3,15.4,13,0.33,1.6,4.3,0.25,0.7,50.0,0.59,2.8,7.3,1.38,3.7,43.9,0.0,0.0
81,Christopher Oconnell,4,0.0,57.9,55.5,9.3,3.1,7.0,55.9,66.7,46.9,50.4,71.4,6.9,25.1,26.3,12.4,2.8,19.2,34.0,5.7,4.5,4.5,20.0,10,0.23,1.1,2.5,0.22,0.5,55.6,0.64,3.0,6.8,1.33,3.0,42.7,0.0,0.0
