Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
35,Tallon Griekspoor,7,57.1,67.9,67.5,11.8,5.1,13.0,60.6,75.5,56.2,64.6,87.9,6.6,29.1,30.7,9.8,2.1,23.7,39.1,6.3,53.0,56.6,25.0,40,0.38,1.9,5.7,0.48,1.4,64.9,0.35,1.8,5.3,0.62,1.9,49.0,75.0,57.1
36,Giovanni Mpetshi Perricard,7,57.1,72.5,68.8,23.6,5.4,17.5,69.4,81.5,52.1,63.1,93.0,6.2,28.0,29.0,8.1,2.0,23.1,38.8,6.0,30.0,61.3,44.0,25,0.23,1.1,3.6,0.5,1.6,80.5,0.36,1.9,5.9,0.36,1.1,50.9,50.0,54.5
37,Matteo Arnaldi,3,33.3,62.1,61.1,10.1,4.7,12.0,60.6,67.2,54.4,61.8,79.6,6.5,33.2,34.5,6.1,1.3,24.6,47.5,6.5,29.0,47.7,42.1,19,0.4,1.9,6.3,0.8,2.7,60.0,0.51,2.5,8.3,1.0,3.3,47.8,50.0,40.0
39,Alexandre Muller,2,50.0,61.2,60.7,4.0,1.8,5.7,68.1,67.2,48.3,51.2,77.5,6.8,36.6,37.2,6.2,2.7,29.9,47.0,6.4,38.0,38.0,47.1,17,0.43,2.4,8.5,1.14,4.0,62.5,0.6,3.4,12.0,1.29,4.5,49.2,75.0,57.1
40,Nuno Borges,3,0.0,67.1,64.1,15.4,4.1,12.8,68.3,77.4,44.9,51.5,82.1,6.3,31.2,31.7,5.6,1.9,25.3,42.9,6.6,62.0,52.3,23.5,17,0.41,2.1,5.7,0.5,1.3,68.2,0.56,2.8,7.3,0.88,2.3,48.3,0.0,12.5
41,Jordan Thompson,7,57.1,66.0,64.8,8.1,2.6,6.6,61.0,74.4,52.8,56.6,84.1,6.2,31.9,33.0,9.8,3.1,25.5,45.1,5.9,53.0,71.6,29.3,41,0.45,2.2,5.9,0.63,1.7,64.1,0.44,2.1,5.6,0.74,2.0,49.0,100.0,47.4
42,Alejandro Tabilo,9,77.8,68.9,67.9,9.8,3.1,9.0,65.0,78.8,50.5,55.5,91.1,6.4,32.6,33.4,11.4,4.6,21.7,47.9,6.2,48.0,44.8,39.1,46,0.37,1.8,5.1,0.72,2.0,81.4,0.48,2.4,6.6,0.44,1.2,51.2,80.0,64.0
43,Gael Monfils,7,71.4,69.5,68.0,15.2,4.9,12.1,59.8,80.8,52.8,60.1,89.2,6.0,31.2,31.0,5.1,2.6,27.6,36.4,6.0,65.0,67.7,30.2,43,0.44,2.2,6.1,0.65,1.9,62.1,0.28,1.5,4.1,0.55,1.6,50.9,75.0,65.0
44,Lorenzo Sonego,6,50.0,68.6,67.4,9.8,3.0,10.2,70.9,75.4,51.8,57.7,87.0,6.1,32.6,32.5,5.2,2.7,25.0,46.7,6.4,74.0,144.0,28.6,35,0.47,2.3,5.8,0.67,1.7,67.7,0.4,2.1,5.2,0.67,1.7,50.4,75.0,53.3
45,Marcos Giron,13,69.2,67.2,65.4,7.7,1.4,3.6,59.9,76.9,52.6,54.6,86.1,6.1,34.3,34.8,8.6,3.7,25.7,48.8,6.3,65.0,116.5,33.3,84,0.49,2.4,6.5,0.8,2.2,63.6,0.38,1.9,5.1,0.69,1.8,50.5,66.7,60.0
