Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Australian Open R32,W vsFucsovics,22.2%,30.4%,52.0%,27.9%,33.3%,43.2%,55.6%,42.7%,47.4%,62.8%,54.5%,6.1%,12.2%,47.8%,-57
2023 Australian Open R64,W vsEtcheverry,29.4%,38.2%,73.3%,35.6%,40.5%,54.8%,80.0%,50.5%,36.8%,69.6%,-,13.0%,13.0%,65.0%,9
2023 Australian Open R128,W vsEdmund,32.9%,47.6%,54.7%,44.0%,38.9%,59.3%,69.7%,55.7%,28.6%,60.6%,83.3%,23.1%,26.9%,30.0%,29
2023 Adelaide 1 QF,L vsKorda,26.4%,39.6%,41.7%,32.1%,35.3%,52.9%,50.0%,44.1%,38.9%,56.3%,66.7%,12.5%,18.8%,28.6%,-2
2023 Adelaide 1 R16,W vsKokkinakis,21.8%,38.5%,59.3%,31.3%,25.9%,43.1%,58.1%,38.6%,25.0%,65.8%,100.0%,11.1%,27.8%,62.5%,-8
2022 Vienna QF,L vsMedvedev,17.7%,25.8%,47.1%,23.1%,30.3%,39.4%,47.8%,40.3%,35.0%,84.6%,100.0%,3.4%,10.3%,46.4%,-80
2022 Vienna R32,W vsGarin,51.2%,55.8%,70.0%,56.3%,69.2%,76.9%,75.0%,77.7%,40.0%,54.5%,-,25.0%,25.0%,66.7%,10
2022 Sofia SF,L vsRune,33.8%,46.3%,50.0%,42.4%,40.0%,56.4%,51.5%,52.5%,57.7%,41.4%,0.0%,20.8%,25.0%,47.4%,-19
2022 US Open QF,L vsAlcaraz,24.9%,35.2%,44.2%,32.2%,29.6%,46.1%,51.9%,43.0%,55.1%,57.6%,50.0%,22.4%,25.9%,34.8%,95
2022 US Open R16,W vsIvashka,20.1%,27.6%,56.5%,24.6%,35.9%,46.9%,58.5%,45.2%,57.6%,61.3%,20.0%,7.3%,12.7%,54.9%,-54
2022 US Open R32,W vsNakashima,34.5%,45.7%,48.6%,39.7%,47.9%,63.4%,48.6%,56.5%,57.6%,71.1%,80.0%,14.6%,19.5%,48.6%,29
2022 Cincinnati R16,L vsAuger Aliassime,32.3%,47.3%,44.1%,36.6%,38.5%,53.8%,40.6%,46.2%,71.4%,58.1%,66.7%,27.0%,43.2%,48.1%,69
2022 Canada R16,L vsCarreno Busta,22.2%,33.3%,52.5%,30.0%,29.6%,51.9%,68.4%,45.2%,50.0%,63.6%,0.0%,16.0%,16.0%,38.1%,33
2022 Umag F,W vsAlcaraz,34.8%,44.6%,58.9%,41.1%,43.4%,58.5%,60.0%,54.3%,37.0%,69.2%,75.0%,25.7%,28.6%,57.7%,76
2022 Umag SF,W vsAgamenone,16.3%,44.2%,65.7%,32.1%,18.5%,55.6%,72.7%,43.7%,50.0%,61.5%,50.0%,13.3%,26.7%,53.8%,16
2022 Umag QF,W vsCarballes Baena,26.5%,42.6%,64.6%,34.7%,40.0%,51.4%,71.4%,56.0%,38.5%,59.1%,-,12.9%,35.5%,59.3%,13
2022 Wimbledon QF,L vsDjokovic,26.1%,35.8%,50.0%,30.8%,38.9%,51.4%,50.0%,47.6%,44.4%,55.6%,33.3%,12.7%,20.0%,50.0%,6
2022 Wimbledon R16,W vsAlcaraz,28.8%,41.8%,61.6%,36.4%,34.5%,52.4%,60.0%,47.7%,40.9%,50.0%,50.0%,22.8%,29.8%,63.6%,43
