Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2021 Paris SF,W vsHurkacz,50% (7/14),57% (4/7),0/2,23% (3/13),33% (1/3),3/3,0/0,0/0,0/0,0/0
2021 Paris QF,W vsFritz,67% (6/9),83% (5/6),2/3,40% (4/10),25% (1/4),2/4,1/2,0/0,1/1,0/0
2021 US Open F,L vsMedvedev,20% (3/15),33% (1/3),0/4,40% (6/15),33% (2/6),1/1,0/0,4/4,0/0,2/2
2021 US Open SF,W vsZverev,26% (6/23),100% (6/6),1/3,26% (6/23),50% (3/6),3/3,0/1,1/1,0/1,0/0
2021 US Open QF,W vsBerrettini,50% (9/18),56% (5/9),0/1,21% (4/19),75% (3/4),3/3,1/1,0/0,1/1,0/0
2021 US Open R16,W vsBrooksby,44% (7/16),86% (6/7),1/3,25% (4/16),25% (1/4),6/6,3/3,0/0,1/1,0/0
2021 US Open R32,W vsNishikori,58% (11/19),64% (7/11),1/2,26% (5/19),60% (3/5),6/6,2/2,0/0,1/1,0/0
2021 US Open R64,W vsGriekspoor,50% (6/12),100% (6/6),1/1,15% (2/13),50% (1/2),5/5,2/2,0/0,1/1,0/0
2021 US Open R128,W vsRune,50% (8/16),100% (8/8),0/2,11% (2/18),0% (0/2),6/7,2/2,2/2,1/1,0/0
2021 Tokyo Olympics BR,L vsCarreno Busta,25% (4/16),0% (0/4),0/2,20% (3/15),33% (1/3),0/0,0/0,2/2,0/0,1/1
2021 Tokyo Olympics SF,L vsZverev,36% (4/11),75% (3/4),0/4,58% (7/12),29% (2/7),2/3,1/1,0/1,0/0,0/1
2021 Tokyo Olympics QF,W vsNishikori,86% (6/7),83% (5/6),0/0,14% (1/7),100% (1/1),3/3,0/0,0/0,0/0,0/0
2021 Tokyo Olympics R16,W vsDavidovich Fokina,63% (5/8),80% (4/5),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2021 Tokyo Olympics R64,W vsDellien,63% (5/8),80% (4/5),0/0,0% (0/8),- (0/0),2/2,0/0,0/0,0/0,0/0
2021 Wimbledon F,W vsBerrettini,38% (8/21),75% (6/8),0/2,20% (4/20),50% (2/4),5/5,2/4,0/0,0/0,0/0
2021 Wimbledon SF,W vsShapovalov,28% (5/18),60% (3/5),0/1,22% (4/18),75% (3/4),3/3,2/2,3/3,1/1,0/0
2021 Wimbledon QF,W vsFucsovics,57% (8/14),50% (4/8),0/1,20% (3/15),67% (2/3),4/4,3/4,0/0,1/1,0/0
2021 Wimbledon R16,W vsGarin,62% (8/13),63% (5/8),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2021 Wimbledon R32,W vsKudla,33% (5/15),80% (4/5),1/2,19% (3/16),33% (1/3),2/3,1/1,2/2,0/0,0/0
2021 Wimbledon R64,W vsAnderson,38% (5/13),80% (4/5),0/0,0% (0/14),- (0/0),3/3,2/2,0/0,1/1,0/0
2021 Wimbledon R128,W vsDraper,56% (9/16),67% (6/9),0/1,12% (2/17),50% (1/2),6/6,3/3,1/1,1/1,0/0
2021 Roland Garros F,W vsTsitsipas,35% (8/23),63% (5/8),0/2,17% (4/24),25% (1/4),4/5,3/4,1/1,1/1,0/0
2021 Roland Garros SF,W vsNadal,58% (11/19),73% (8/11),1/6,58% (11/19),45% (5/11),5/7,1/2,3/3,0/0,0/0
2021 Roland Garros QF,W vsBerrettini,30% (6/20),67% (4/6),0/0,14% (3/21),100% (3/3),3/3,2/2,2/2,0/0,0/0
2021 Roland Garros R32,W vsBerankis,58% (7/12),86% (6/7),0/0,0% (0/12),- (0/0),5/5,2/2,0/0,0/0,0/0
2021 Roland Garros R64,W vsCuevas,38% (5/13),100% (5/5),1/1,29% (4/14),75% (3/4),5/5,3/3,0/0,1/1,0/0
2021 Roland Garros R128,W vsSandgren,54% (7/13),71% (5/7),0/0,15% (2/13),100% (2/2),5/5,3/3,0/0,1/1,0/0
2021 Belgrade 2 F,W vsMolcan,67% (6/9),100% (6/6),4/4,40% (4/10),0% (0/4),3/5,1/2,0/0,1/1,0/0
2021 Rome F,L vsNadal,29% (4/14),75% (3/4),0/3,43% (6/14),50% (3/6),2/3,1/1,1/1,0/0,1/1
2021 Rome SF,W vsSonego,50% (7/14),57% (4/7),0/0,20% (3/15),67% (2/3),2/3,1/2,1/1,0/1,0/0
2021 Belgrade SF,L vsKaratsev,75% (12/16),42% (5/12),1/6,63% (10/16),40% (4/10),2/4,0/0,1/1,0/0,1/1
2021 Monte Carlo R16,L vsEvans,55% (6/11),50% (3/6),1/5,45% (5/11),0% (0/5),2/3,0/0,0/0,0/0,0/0
2021 Australian Open F,W vsMedvedev,50% (7/14),100% (7/7),1/2,21% (3/14),33% (1/3),4/4,0/0,0/0,0/0,0/0
2021 Australian Open SF,W vsKaratsev,46% (6/13),100% (6/6),1/2,21% (3/14),33% (1/3),6/6,3/4,0/0,1/1,0/0
2021 Australian Open QF,W vsZverev,38% (8/21),75% (6/8),0/3,38% (8/21),63% (5/8),6/6,2/2,3/3,0/0,0/0
2021 Australian Open R16,W vsRaonic,37% (7/19),43% (3/7),0/1,10% (2/20),50% (1/2),3/3,2/2,3/3,1/1,0/0
2021 Australian Open R32,W vsFritz,24% (6/25),67% (4/6),0/3,33% (8/24),63% (5/8),3/3,1/2,1/1,0/0,0/0
2021 Australian Open R64,W vsTiafoe,43% (9/21),56% (5/9),1/2,14% (3/21),33% (1/3),4/4,1/1,2/2,0/0,0/0
2021 Australian Open R128,W vsChardy,67% (8/12),75% (6/8),0/0,0% (0/12),- (0/0),5/5,2/2,0/0,1/1,0/0
2020 Tour Finals SF,L vsThiem,11% (2/18),0% (0/2),0/1,11% (2/18),50% (1/2),0/0,0/0,2/2,0/0,2/2
2020 Tour Finals RR,L vsMedvedev,11% (1/9),0% (0/1),0/2,44% (4/9),25% (1/4),0/0,0/0,1/2,0/0,1/1
2020 Vienna QF,L vsSonego,29% (2/7),0% (0/2),0/4,63% (5/8),0% (0/5),0/0,0/0,1/2,0/0,0/1
2020 Roland Garros F,L vsNadal,15% (2/13),50% (1/2),1/7,77% (10/13),30% (3/10),1/1,0/0,1/1,0/0,0/0
2020 Roland Garros SF,W vsTsitsipas,57% (13/23),62% (8/13),1/2,35% (8/23),50% (4/8),6/7,2/3,0/2,0/1,0/0
2020 Roland Garros QF,W vsCarreno Busta,44% (8/18),75% (6/8),0/3,42% (8/19),63% (5/8),4/5,2/2,0/0,1/1,0/0
2020 Roland Garros R16,W vsKhachanov,57% (8/14),75% (6/8),1/2,29% (4/14),50% (2/4),3/4,1/2,0/0,0/0,0/0
2020 Roland Garros R32,W vsGalan,83% (10/12),70% (7/10),0/0,27% (3/11),100% (3/3),5/5,1/1,0/0,0/0,0/0
