Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Halle R32,W vsCobolli,33% (4/12),50% (2/4),0/1,8% (1/12),0% (0/1),0/1,0/0,0/0,0/0,0/0
2024 Roland Garros R16,L vsDimitrov,24% (4/17),25% (1/4),0/2,29% (5/17),60% (3/5),1/1,0/0,3/3,0/0,0/0
2024 Roland Garros R32,W vsShapovalov,39% (7/18),57% (4/7),0/2,20% (4/20),50% (2/4),3/4,2/2,3/3,1/1,0/0
2024 Roland Garros R128,W vsMochizuki,48% (10/21),60% (6/10),0/3,23% (5/22),40% (2/5),4/5,2/2,2/2,1/1,0/0
2024 Rome QF,L vsPaul,43% (6/14),83% (5/6),1/6,57% (8/14),25% (2/8),3/5,1/1,0/0,0/0,0/0
2024 Rome R16,W vsBaez,24% (4/17),75% (3/4),0/3,29% (5/17),40% (2/5),3/3,1/1,0/0,1/1,0/0
2024 Rome R32,W vsEtcheverry,20% (2/10),100% (2/2),0/0,30% (3/10),100% (3/3),2/2,1/1,0/0,1/1,0/0
2024 Rome R64,W vsNadal,63% (5/8),80% (4/5),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,0/0,0/0
2024 Madrid R16,L vsFritz,0% (0/11),- (0/0),0/1,27% (3/11),67% (2/3),0/0,0/0,3/3,0/0,1/1
2024 Madrid R32,W vsAltmaier,45% (5/11),80% (4/5),1/3,45% (5/11),40% (2/5),1/3,0/0,0/0,0/0,0/0
2024 Madrid R64,W vsDraper,44% (4/9),75% (3/4),0/0,0% (0/10),- (0/0),3/3,2/2,1/1,1/1,0/0
2024 Monte Carlo R16,L vsRuud,0% (0/9),- (0/0),0/3,56% (5/9),40% (2/5),0/0,0/0,2/2,0/0,1/1
2024 Monte Carlo R32,W vsBautista Agut,25% (3/12),67% (2/3),1/1,8% (1/12),0% (0/1),2/2,1/1,3/3,0/0,0/0
2024 Monte Carlo R64,W vsDraper,27% (4/15),75% (3/4),0/3,31% (5/16),20% (1/5),2/2,0/1,1/2,0/1,1/1
2024 Estoril F,W vsMartinez,33% (3/9),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2024 Estoril QF,W vsLlamas Ruiz,18% (2/11),50% (1/2),0/0,27% (3/11),100% (3/3),1/1,1/1,0/0,1/1,0/0
2024 Estoril R16,W vsChoinski,27% (3/11),67% (2/3),0/1,27% (3/11),67% (2/3),2/2,1/1,1/1,1/1,0/0
2024 Miami R16,L vsDimitrov,33% (5/15),20% (1/5),0/1,20% (3/15),67% (2/3),1/1,1/1,1/1,0/0,0/0
2024 Miami R32,W vsKorda,13% (2/16),50% (1/2),0/0,12% (2/17),100% (2/2),1/1,1/1,2/2,1/1,0/0
2024 Miami R64,W vsShevchenko,20% (3/15),67% (2/3),0/0,0% (0/16),- (0/0),2/2,2/2,2/2,1/1,0/0
2024 Indian Wells R64,L vsMonfils,23% (3/13),67% (2/3),1/6,62% (8/13),13% (1/8),1/2,0/1,2/3,0/0,2/2
2024 Dubai QF,L vsHumbert,29% (4/14),50% (2/4),1/2,25% (4/16),25% (1/4),2/2,1/1,2/3,0/0,0/1
2024 Dubai R16,W vsOconnell,9% (1/11),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2024 Dubai R32,W vsStruff,6% (1/18),0% (0/1),0/0,17% (3/18),100% (3/3),0/0,0/0,2/2,0/0,0/0
2024 Rotterdam R16,L vsGriekspoor,17% (3/18),33% (1/3),1/1,6% (1/18),0% (0/1),1/1,0/0,2/2,0/0,0/0
2024 Rotterdam R32,W vsLehecka,13% (2/16),50% (1/2),0/0,12% (2/17),100% (2/2),1/1,1/1,2/2,0/0,0/0
2024 Marseille SF,L vsHumbert,20% (2/10),0% (0/2),0/2,20% (2/10),0% (0/2),0/0,0/0,2/2,0/0,1/1
2024 Marseille QF,W vsMachac,22% (2/9),100% (2/2),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2024 Marseille R16,W vsShevchenko,75% (6/8),83% (5/6),2/2,22% (2/9),0% (0/2),3/5,2/2,0/0,1/1,0/0
2024 Australian Open QF,L vsMedvedev,38% (10/26),50% (5/10),0/4,28% (7/25),43% (3/7),4/4,1/1,2/2,0/0,1/1
2024 Australian Open R16,W vsCazaux,18% (3/17),67% (2/3),0/1,6% (1/17),0% (0/1),2/2,1/1,2/2,1/1,0/0
2024 Australian Open R32,W vsHumbert,22% (4/18),100% (4/4),0/2,21% (4/19),50% (2/4),4/4,2/3,2/2,1/1,0/0
