Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Australian Open R128,W vsVarillas,36% (9/25),56% (5/9),1/3,19% (5/26),20% (1/5),4/4,1/1,3/4,0/0,2/2
2022 Roland Garros QF,W vsAlcaraz,19% (4/21),75% (3/4),0/1,24% (5/21),60% (3/5),2/3,2/3,1/2,0/1,0/0
2022 Roland Garros R16,W vsZapata Miralles,50% (8/16),100% (8/8),1/6,47% (8/17),25% (2/8),3/7,1/2,1/1,1/1,0/0
2022 Roland Garros R64,W vsBaez,32% (7/22),100% (7/7),1/5,43% (10/23),50% (5/10),7/7,3/3,3/3,1/1,1/1
2022 Rome SF,L vsTsitsipas,14% (2/14),50% (1/2),0/2,29% (4/14),25% (1/4),1/1,1/1,1/2,0/0,0/1
2022 Rome R32,W vsBaez,10% (1/10),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,1/1,0/0
2022 Madrid F,L vsAlcaraz,0% (0/8),- (0/0),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,0/1
2022 Madrid SF,W vsTsitsipas,29% (4/14),75% (3/4),0/1,8% (1/13),0% (0/1),2/2,1/1,0/0,0/0,0/0
2022 Madrid QF,W vsAuger Aliassime,55% (6/11),67% (4/6),0/1,30% (3/10),67% (2/3),2/2,0/0,0/0,0/0,0/0
2022 Munich R16,L vsRune,33% (3/9),33% (1/3),0/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,1/1
2022 Monte Carlo SF,L vsTsitsipas,22% (2/9),100% (2/2),1/3,56% (5/9),0% (0/5),1/2,0/0,1/3,0/0,0/1
2022 Miami QF,L vsRuud,15% (2/13),100% (2/2),0/2,25% (3/12),33% (1/3),2/2,1/1,2/2,0/0,1/1
2022 Indian Wells R64,L vsPaul,20% (3/15),67% (2/3),0/3,33% (5/15),40% (2/5),0/1,0/0,1/1,0/0,0/0
2022 Acapulco R32,W vsBrooksby,33% (5/15),40% (2/5),0/1,21% (3/14),67% (2/3),2/2,1/1,0/0,1/1,0/0
2022 Montpellier F,L vsBublik,22% (2/9),50% (1/2),1/3,50% (5/10),20% (1/5),1/1,0/0,0/1,0/0,0/1
2022 Australian Open R16,L vsShapovalov,19% (3/16),67% (2/3),0/4,29% (4/14),0% (0/4),1/2,0/1,2/2,0/0,1/1
2021 Tour Finals F,W vsMedvedev,30% (3/10),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2021 Tour Finals SF,W vsDjokovic,13% (2/15),50% (1/2),0/1,19% (3/16),67% (2/3),1/1,1/1,2/2,1/1,0/0
2021 Tour Finals RR,W vsHurkacz,56% (5/9),60% (3/5),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2021 Tour Finals RR,L vsMedvedev,18% (3/17),0% (0/3),0/1,19% (3/16),67% (2/3),0/0,0/0,3/3,0/0,2/2
2021 Paris SF,L vsMedvedev,25% (2/8),0% (0/2),0/4,50% (4/8),0% (0/4),0/0,0/0,1/1,0/0,1/1
2021 Paris QF,W vsRuud,36% (4/11),50% (2/4),0/0,9% (1/11),100% (1/1),2/2,2/2,1/1,1/1,0/0
2021 Indian Wells QF,L vsFritz,38% (6/16),50% (3/6),0/3,20% (3/15),0% (0/3),2/3,1/2,1/1,0/1,0/0
2021 US Open SF,L vsDjokovic,26% (6/23),50% (3/6),0/3,26% (6/23),0% (0/6),2/3,2/2,1/4,0/0,1/2
2021 US Open QF,W vsHarris,33% (5/15),80% (4/5),1/2,19% (3/16),33% (1/3),4/4,2/2,2/2,1/1,0/0
