Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
79,Aleksandar Vukic[AUS],5,40.0,67.8,12.7,2.6,7.2,63.2,76.4,52.9,57.0,87.5,29.4,8.7,5.1,21.0,44.8,9.2,20.7,29,0.45,2.2,5.8,0.46,1.2,63.6,0.34,1.7,4.4,0.62,1.6,48.7,50.0,46.2,48.1
80,Aleksandar Kovacevic[USA],2,0.0,62.0,12.4,3.1,8.5,63.6,69.5,48.9,53.5,80.0,28.0,8.8,4.8,21.5,39.1,4.8,16.7,6,0.29,1.5,3.0,0.25,0.5,66.7,0.6,3.0,6.0,1.0,2.0,45.3,0.0,0.0,41.5
81,Christopher Oconnell[AUS],2,0.0,57.0,5.5,3.9,11.6,66.4,62.4,46.5,52.6,66.7,24.3,20.6,2.8,14.3,43.2,0.0,0.0,5,0.28,1.3,2.5,0.0,0.0,53.8,0.72,3.3,6.5,1.5,3.0,42.1,-,0.0,33.3
82,Rinky Hijikata[AUS],5,0.0,56.1,3.3,3.3,7.2,53.8,68.5,41.7,45.0,66.0,28.2,12.3,2.9,23.7,35.2,5.7,27.3,11,0.21,1.0,2.2,0.27,0.6,43.3,0.6,2.7,6.0,1.55,3.4,42.0,100.0,9.1,35.0
83,Corentin Moutet[FRA],2,50.0,59.2,2.7,2.2,6.6,66.8,61.0,55.7,59.6,65.4,38.6,4.0,1.7,38.5,38.8,24.0,46.2,13,0.52,2.6,6.5,1.2,3.0,43.8,0.62,3.2,8.0,1.8,4.5,49.2,100.0,60.0,45.1
84,Borna Coric[CRO],1,100.0,73.0,4.8,0.0,0.0,66.7,71.4,76.2,76.2,100.0,41.3,4.8,3.2,39.5,45.0,22.2,22.2,9,1.0,4.5,9.0,1.0,2.0,100.0,0.3,1.5,3.0,0.0,0.0,57.1,-,100.0,63.2
87,Jan Lennard Struff[GER],3,66.7,67.1,11.0,3.4,9.4,63.7,73.1,56.6,62.5,90.5,33.3,8.6,2.7,27.0,44.6,11.9,33.3,15,0.36,1.9,5.0,0.63,1.7,85.2,0.64,3.4,9.0,0.5,1.3,51.4,50.0,62.5,51.2
90,James Duckworth[AUS],3,0.0,58.2,5.7,1.5,3.9,60.8,59.3,56.6,58.9,74.1,22.4,21.7,2.0,10.8,40.7,0.0,0.0,3,0.11,0.5,1.0,0.0,0.0,65.0,0.74,3.3,6.7,1.17,2.3,42.5,0.0,0.0,37.0
91,Cameron Norrie[GBR],3,66.7,66.5,4.0,3.2,9.9,67.7,74.1,50.6,56.2,89.7,38.5,6.1,2.8,29.4,55.2,27.0,45.5,22,0.59,2.8,7.3,1.25,3.3,63.6,0.28,1.4,3.7,0.5,1.3,52.6,0.0,50.0,59.2
94,Reilly Opelka[USA],1,100.0,75.9,34.2,10.1,27.6,63.3,88.0,55.2,76.2,93.3,31.2,5.2,6.5,19.5,44.4,14.3,66.7,3,0.21,1.0,3.0,0.67,2.0,50.0,0.13,0.7,2.0,0.33,1.0,53.8,-,66.7,55.2
96,Mackenzie Mcdonald[USA],1,0.0,68.8,5.2,6.5,13.9,53.2,80.5,55.6,64.5,85.7,24.1,34.2,10.1,12.0,44.8,6.7,50.0,2,0.13,0.7,2.0,0.33,1.0,33.3,0.21,1.0,3.0,0.67,2.0,46.2,-,33.3,44.8
97,Alexander Shevchenko[KAZ],4,0.0,61.5,7.8,2.3,5.7,60.5,67.9,51.6,54.8,77.1,32.2,9.4,4.4,20.1,50.4,10.2,31.3,16,0.33,1.6,4.0,0.5,1.3,52.2,0.48,2.3,5.8,1.1,2.8,47.1,0.0,20.0,43.3
98,Pablo Carreno Busta[ESP],1,100.0,64.2,3.0,0.0,0.0,70.1,63.8,65.0,65.0,88.9,46.3,7.4,0.0,46.2,46.7,44.4,44.4,9,1.0,4.5,9.0,2.0,4.0,80.0,0.56,2.5,5.0,0.5,1.0,56.2,-,100.0,66.7
99,Mariano Navone[ARG],4,75.0,54.3,0.5,1.5,5.0,70.0,57.1,47.9,50.4,59.6,46.9,0.5,3.2,40.5,57.6,45.6,49.1,53,0.93,4.8,13.3,2.36,6.5,56.6,0.93,4.8,13.3,2.09,5.8,50.8,100.0,63.6,52.6
