Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
55,Zhizhen Zhang,13,46.2,65.3,64.4,9.4,3.8,9.6,60.2,72.9,53.7,59.4,83.8,6.3,35.6,36.4,10.5,4.8,26.9,47.6,6.4,65.0,238.6,38.6,70,0.49,2.3,5.4,0.87,2.1,64.6,0.46,2.1,5.0,0.74,1.8,50.3,14.3,45.2
56,Roberto Bautista Agut,10,50.0,61.8,62.9,2.8,3.4,11.1,69.5,65.2,54.0,60.7,79.8,6.5,36.8,39.7,13.4,3.9,27.9,51.4,6.4,65.0,72.6,32.9,70,0.61,2.9,7.0,0.96,2.3,64.6,0.57,2.7,6.5,0.96,2.3,49.3,33.3,45.8
57,Jacob Fearnley,1,100.0,59.2,61.2,5.3,6.6,15.2,56.6,69.8,45.5,53.6,70.0,7.6,46.8,46.5,3.9,3.9,42.6,53.3,7.7,71.0,71.0,38.5,13,1.3,6.5,13.0,2.5,5.0,57.1,0.7,3.5,7.0,1.5,3.0,52.9,100.0,100.0
58,Benjamin Bonzi,1,100.0,67.4,63.3,11.2,0.0,0.0,67.4,75.0,51.7,51.7,90.9,8.1,30.9,31.1,7.4,2.9,27.7,38.1,6.2,57.0,57.0,33.3,6,0.55,3.0,6.0,1.0,2.0,92.9,1.27,7.0,14.0,0.5,1.0,51.6,100.0,100.0
59,Roberto Carballes Baena,12,33.3,61.1,61.6,3.6,3.0,8.6,65.3,68.6,47.0,51.4,75.2,6.6,37.0,37.0,5.9,3.4,29.7,48.1,6.6,76.5,87.1,35.1,77,0.56,2.6,6.4,0.9,2.3,61.4,0.64,2.9,7.3,1.13,2.8,49.1,40.0,36.7
61,Fabian Marozsan,10,40.0,60.4,60.6,4.5,3.3,10.0,67.6,67.9,44.8,49.8,73.0,6.6,35.2,35.6,7.0,3.2,26.1,51.9,6.1,56.5,68.4,40.4,52,0.46,2.3,5.2,0.91,2.1,59.5,0.67,3.2,7.4,1.3,3.0,48.3,66.7,43.5
62,Kei Nishikori,4,0.0,60.5,60.5,3.3,2.2,7.4,70.7,65.1,49.4,53.3,75.6,6.7,30.9,31.4,10.2,4.0,21.2,53.7,6.5,22.5,31.8,17.6,17,0.4,2.1,4.3,0.38,0.8,56.5,0.56,2.9,5.8,1.25,2.5,45.7,0.0,0.0
63,Francisco Comesana,3,66.7,64.0,64.7,7.5,5.2,13.3,61.0,75.0,46.7,53.8,77.6,6.3,36.4,34.3,8.9,7.9,25.7,47.6,6.1,77.0,87.7,45.5,22,0.46,2.2,7.3,1.0,3.3,56.0,0.51,2.5,8.3,1.1,3.7,50.6,100.0,60.0
64,Laslo Djere,1,0.0,62.3,60.2,9.0,2.5,8.8,72.1,73.9,32.4,35.5,76.5,7.2,26.0,27.2,4.2,0.0,18.8,40.6,6.0,183.0,183.0,100.0,2,0.13,0.7,2.0,0.67,2.0,63.6,0.65,3.7,11.0,1.33,4.0,46.3,50.0,33.3
65,Joao Fonseca,4,50.0,68.2,67.2,7.1,2.0,6.0,67.5,72.1,60.2,64.1,79.5,5.8,37.4,38.4,6.0,2.1,29.6,56.1,6.1,81.5,78.8,34.3,35,0.76,2.7,8.8,0.92,3.0,55.0,0.45,1.5,5.0,0.69,2.3,52.1,50.0,53.8
