Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
51,Tomas Martin Etcheverry,4,100.0,73.6,71.7,9.1,0.9,2.8,65.7,80.9,59.6,61.3,92.9,5.7,45.9,47.6,10.4,6.1,32.6,64.3,6.7,63.5,62.0,41.1,56,1.0,4.3,14.0,1.77,5.8,75.0,0.29,1.2,4.0,0.31,1.0,58.6,-,92.3
52,Quentin Halys,3,66.7,69.0,67.7,15.6,5.6,14.6,61.7,79.6,51.8,60.7,87.5,6.4,31.0,32.4,10.7,3.1,24.3,42.7,5.7,125.0,118.0,40.0,15,0.27,1.4,5.0,0.55,2.0,76.7,0.54,2.7,10.0,0.64,2.3,51.1,100.0,63.6
53,Nicolas Jarry,4,0.0,60.6,59.7,6.9,3.1,8.4,63.0,69.6,45.2,49.3,70.8,6.2,31.1,32.0,8.9,2.8,22.7,42.7,5.8,93.5,96.8,38.1,21,0.29,1.3,5.3,0.5,2.0,65.0,0.83,3.8,15.0,1.31,5.3,46.2,-,25.0
54,Gabriel Diallo,3,33.3,57.0,53.5,10.8,2.9,9.0,67.5,64.9,40.6,44.6,74.1,7.1,46.7,45.3,1.4,3.8,45.3,49.6,7.3,84.0,166.0,38.3,47,0.81,4.3,15.7,1.64,6.0,57.1,0.6,3.2,11.7,1.36,5.0,51.7,0.0,45.5
55,Zhizhen Zhang,9,55.6,64.2,62.2,9.5,2.6,6.7,61.7,70.5,54.1,58.0,79.8,6.2,35.2,37.3,11.2,3.3,25.3,49.5,6.4,89.0,105.3,37.1,62,0.53,2.6,6.9,0.96,2.6,56.4,0.46,2.3,6.1,1.0,2.7,49.6,50.0,54.2
56,Roberto Bautista Agut,7,57.1,58.9,59.3,3.5,3.1,9.4,66.9,63.2,50.2,55.4,73.8,7.2,39.7,41.4,9.3,3.6,28.6,58.4,6.8,85.0,75.7,39.1,64,0.63,3.0,9.1,1.19,3.6,63.5,0.72,3.5,10.6,1.29,3.9,49.6,80.0,57.1
57,Jacob Fearnley,1,100.0,75.7,76.8,7.5,3.7,10.0,62.6,85.1,60.0,66.7,100.0,6.3,34.9,34.6,0.8,0.8,28.6,50.0,7.6,188.0,188.0,20.0,10,0.59,3.3,10.0,0.67,2.0,100.0,0.18,1.0,3.0,0.0,0.0,53.4,100.0,100.0
58,Benjamin Bonzi,1,0.0,64.6,65.0,4.7,3.1,8.3,62.2,70.9,54.2,59.1,76.2,6.0,37.6,37.7,4.7,2.7,30.3,48.3,7.1,28.0,28.0,57.1,7,0.33,1.8,7.0,1.0,4.0,50.0,0.48,2.5,10.0,1.25,5.0,50.0,0.0,25.0
59,Roberto Carballes Baena,9,77.8,63.0,62.6,5.4,2.6,7.1,63.6,69.4,51.8,55.8,80.5,6.7,39.3,40.1,6.5,3.1,32.8,50.7,6.5,65.0,85.8,37.9,87,0.67,3.1,9.7,1.18,3.7,68.3,0.62,2.9,9.1,0.93,2.9,51.5,50.0,57.1
60,Camilo Ugo Carabelli,1,0.0,49.4,53.5,1.3,8.9,14.3,38.0,63.3,40.8,47.6,46.2,6.1,30.3,32.8,13.2,2.6,19.5,42.9,5.4,12.0,12.0,50.0,4,0.29,1.3,4.0,0.67,2.0,36.4,0.85,3.7,11.0,2.33,7.0,40.0,-,0.0
61,Fabian Marozsan,8,75.0,65.3,65.2,8.1,4.1,11.0,62.4,72.4,53.7,60.3,81.8,6.0,40.9,41.9,9.7,5.3,30.4,55.7,6.5,96.0,88.0,40.8,71,0.67,3.0,8.9,1.21,3.6,59.2,0.45,2.0,6.1,0.83,2.5,52.8,100.0,66.7
62,Kei Nishikori,4,50.0,56.4,56.7,1.3,1.5,5.0,69.9,55.3,59.1,62.3,75.7,7.1,37.7,41.5,12.2,2.2,32.8,47.3,6.6,58.0,80.0,26.7,45,0.59,3.0,11.3,0.8,3.0,60.0,0.61,3.0,11.3,1.2,4.5,47.3,100.0,46.7
63,Francisco Comesana,2,100.0,65.7,63.5,11.1,2.9,8.1,64.6,75.7,47.5,51.6,85.4,6.8,37.4,35.7,5.1,5.5,22.8,51.1,6.2,87.5,87.5,69.2,13,0.32,1.6,6.5,1.13,4.5,72.7,0.54,2.8,11.0,0.75,3.0,52.2,100.0,75.0
64,Laslo Djere,5,40.0,60.3,61.2,5.0,4.6,12.3,62.4,68.1,47.4,54.1,76.1,7.1,37.0,36.0,7.3,5.7,24.2,56.4,6.1,122.0,132.8,44.3,61,0.54,2.8,12.2,1.23,5.4,63.4,0.65,3.2,14.2,1.18,5.2,49.4,42.9,50.0
65,Joao Fonseca,1,100.0,63.4,62.0,3.7,0.0,0.0,68.3,62.5,65.4,65.4,83.3,6.8,49.4,50.6,2.4,0.0,43.6,60.7,6.9,70.0,70.0,54.5,11,0.92,3.7,11.0,2.0,6.0,77.8,0.75,3.0,9.0,0.67,2.0,56.4,-,66.7
66,Jaume Munar,9,66.7,63.5,64.4,4.7,4.0,11.3,65.0,71.2,49.2,55.5,78.7,6.2,44.3,44.6,4.8,3.3,37.2,56.2,7.5,80.0,115.9,35.7,112,0.92,4.3,12.4,1.54,4.4,65.8,0.62,2.9,8.4,1.0,2.9,53.0,-,65.4
67,Juncheng Shang,7,100.0,65.1,65.5,4.8,3.1,8.1,62.2,71.9,54.0,58.8,82.6,6.6,39.8,41.2,8.0,3.3,30.3,55.4,6.8,46.0,67.1,34.9,86,0.76,3.7,12.3,1.3,4.3,68.3,0.55,2.7,9.0,0.87,2.9,52.4,75.0,73.9
68,Mattia Bellucci,4,50.0,69.6,69.6,9.6,4.3,10.1,57.9,82.2,52.1,58.0,87.8,6.0,33.2,34.7,10.2,3.1,25.8,44.2,6.2,66.0,80.5,32.3,31,0.42,2.1,7.8,0.67,2.5,70.0,0.41,2.0,7.5,0.6,2.3,51.3,100.0,60.0
69,Damir Dzumhur,1,0.0,56.5,58.3,0.0,3.2,8.0,59.7,64.9,44.0,47.8,60.0,6.2,34.9,35.1,6.3,3.2,32.6,41.2,7.0,46.0,46.0,12.5,8,0.89,4.0,8.0,0.5,1.0,42.9,0.7,3.5,7.0,2.0,4.0,45.6,-,0.0
70,Learner Tien,1,0.0,53.3,55.0,1.9,4.7,11.1,57.9,54.8,51.1,57.5,58.8,6.3,35.5,35.9,4.5,1.8,23.1,53.3,6.5,24.0,24.0,42.9,7,0.41,1.8,7.0,0.75,3.0,63.2,1.12,4.8,19.0,1.75,7.0,44.2,-,25.0
71,Daniel Altmaier,8,50.0,61.5,61.5,6.9,4.4,12.3,64.5,72.6,41.3,47.1,75.0,6.5,38.8,38.0,3.4,3.4,31.1,50.4,6.7,111.0,145.9,39.8,83,0.64,3.2,10.4,1.27,4.1,58.4,0.6,3.0,9.6,1.23,4.0,49.9,40.0,46.2
72,Hamad Medjedovic,4,50.0,63.1,61.6,12.1,5.1,13.3,61.7,72.8,47.5,54.7,77.3,6.2,35.2,36.3,11.2,4.6,26.3,46.4,6.5,52.0,60.8,35.5,31,0.49,2.2,7.8,0.79,2.8,65.9,0.67,3.1,11.0,1.07,3.8,49.2,100.0,50.0
73,Bu Yunchaokete,2,0.0,54.9,52.4,9.2,3.5,6.9,49.3,70.0,40.3,43.3,65.2,6.2,25.0,24.0,15.2,6.1,14.5,39.3,5.5,25.5,25.5,40.0,5,0.21,1.0,2.5,0.4,1.0,42.9,0.61,2.8,7.0,1.6,4.0,40.5,0.0,0.0
74,Yoshihito Nishioka,8,25.0,60.6,60.6,2.9,1.9,4.8,61.2,65.0,53.7,56.4,77.8,6.9,32.9,33.8,10.6,4.0,23.9,47.3,6.0,48.0,89.6,43.8,48,0.4,1.8,6.0,0.81,2.6,63.9,0.62,2.8,9.0,1.0,3.3,47.5,50.0,42.3
75,Arthur Rinderknech,7,57.1,69.1,66.9,11.7,2.5,6.8,63.0,78.2,53.5,57.4,88.2,6.2,34.2,34.6,5.8,2.4,29.4,43.0,6.8,106.0,182.3,21.3,80,0.59,3.1,11.4,0.65,2.4,61.0,0.3,1.6,5.9,0.62,2.3,50.7,71.4,57.7
76,Alexander Bublik,4,50.0,62.8,61.3,15.1,7.2,16.9,57.6,77.1,43.4,52.2,78.0,6.3,38.2,37.5,4.0,3.6,32.2,48.2,6.6,95.0,99.8,35.1,57,0.72,3.6,14.3,1.25,5.0,61.7,0.57,2.9,11.8,1.13,4.5,50.4,0.0,50.0
77,Roman Safiullin,9,55.6,64.9,64.8,7.1,3.7,9.9,62.8,71.7,53.5,59.4,80.3,6.3,39.3,39.8,6.7,3.7,31.6,52.2,6.5,63.0,275.4,37.6,101,0.67,3.4,11.2,1.27,4.2,60.5,0.5,2.5,8.4,1.0,3.3,52.0,50.0,56.7
78,Hugo Gaston,5,20.0,57.4,58.0,3.0,3.2,7.5,57.4,62.4,50.7,54.8,66.2,6.4,37.8,38.0,5.2,2.8,33.2,47.5,6.6,63.0,61.4,32.1,53,0.7,3.3,10.6,1.06,3.4,53.7,0.73,3.4,10.8,1.56,5.0,47.3,0.0,25.0
79,Aleksandar Vukic,9,44.4,62.4,60.1,9.7,2.6,6.0,57.3,69.6,52.8,56.1,79.7,6.8,34.4,35.9,9.0,2.7,27.0,45.7,6.4,72.0,82.8,35.4,65,0.45,2.2,7.2,0.79,2.6,65.9,0.59,2.9,9.4,1.0,3.2,48.8,57.1,44.8
80,Aleksandar Kovacevic,8,12.5,62.8,61.1,12.0,4.8,11.3,57.5,74.1,47.5,53.5,78.7,6.5,30.4,32.7,15.3,4.1,22.0,43.5,6.1,49.5,60.3,31.6,38,0.3,1.5,4.8,0.48,1.5,66.7,0.64,3.1,9.8,1.04,3.3,46.9,50.0,24.0
