Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
50,Zizou Bergs,9,33.3,63.2,62.0,8.7,3.5,10.1,65.5,69.2,51.7,57.5,77.1,6.5,39.0,38.6,4.2,3.3,31.3,52.8,6.7,57.0,84.0,36.1,83,0.62,3.0,9.2,1.07,3.3,64.3,0.64,3.0,9.3,1.07,3.3,50.8,50.0,46.4
51,Tomas Martin Etcheverry,30,60.0,62.9,61.9,5.7,1.9,5.6,65.2,69.2,51.1,54.2,79.2,6.5,39.6,39.6,5.1,3.4,33.0,50.5,6.7,67.0,79.5,39.5,233,0.69,3.2,7.8,1.28,3.1,63.5,0.57,2.6,6.3,0.96,2.3,51.0,45.5,56.9
52,Quentin Halys,5,80.0,68.2,69.3,13.7,7.7,14.8,48.2,83.5,54.0,63.4,89.5,6.4,32.8,31.0,4.4,4.7,23.3,46.8,6.3,118.0,109.4,29.6,27,0.5,2.5,5.4,0.73,1.6,68.4,0.33,1.7,3.8,0.55,1.2,51.1,75.0,72.7
53,Nicolas Jarry,18,50.0,63.8,61.8,8.7,2.2,6.0,63.7,70.3,52.4,55.7,81.3,6.5,34.4,33.9,4.5,3.0,27.5,46.5,6.5,61.5,66.3,33.6,113,0.52,2.6,6.3,0.86,2.1,68.2,0.59,2.9,7.2,0.93,2.3,49.2,40.0,45.5
54,Gabriel Diallo,1,0.0,53.4,50.9,7.9,2.6,9.4,72.3,58.0,41.5,45.8,76.9,7.3,52.8,52.4,0.5,1.4,55.3,46.8,8.2,350.0,350.0,57.1,14,0.54,2.8,14.0,1.6,8.0,66.7,0.69,3.6,18.0,1.2,6.0,53.1,0.0,40.0
55,Zhizhen Zhang,16,56.3,63.7,62.3,7.5,2.4,6.3,62.5,70.8,51.8,55.3,78.3,6.3,36.9,38.0,7.5,2.7,28.9,49.5,6.1,48.0,50.1,44.0,91,0.5,2.3,5.7,1.03,2.5,56.7,0.5,2.3,5.6,1.0,2.4,50.4,100.0,53.8
56,Roberto Bautista Agut,10,50.0,61.6,61.8,2.4,1.8,5.6,67.8,64.9,54.8,58.1,75.4,6.4,39.3,41.0,7.4,2.2,32.9,49.8,6.5,51.5,58.3,46.2,65,0.54,2.6,6.5,1.2,3.0,53.8,0.53,2.6,6.5,1.2,3.0,50.4,66.7,48.0
58,Benjamin Bonzi,1,0.0,51.9,51.9,0.0,0.0,0.0,61.5,65.6,30.0,30.0,55.6,5.8,29.3,28.6,1.7,1.7,25.6,36.8,6.4,83.0,83.0,16.7,6,0.67,3.0,6.0,0.5,1.0,33.3,0.67,3.0,6.0,2.0,4.0,40.0,-,0.0
59,Roberto Carballes Baena,26,53.8,61.2,62.0,1.8,2.3,7.4,68.3,65.1,52.8,57.0,74.2,6.5,39.4,39.1,5.0,3.8,32.7,50.4,6.6,83.0,84.0,38.3,196,0.65,3.0,7.5,1.15,2.9,58.9,0.63,2.9,7.3,1.2,3.0,50.2,55.6,49.2
60,Camilo Ugo Carabelli,6,33.3,55.1,56.0,2.8,3.8,9.9,61.9,65.2,38.7,43.0,65.2,7.6,39.4,38.0,3.1,4.1,28.6,53.9,5.9,89.0,120.2,60.0,30,0.45,2.3,5.0,1.38,3.0,70.1,1.17,5.9,12.8,1.77,3.8,48.2,50.0,38.5
