Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
20,Tomas Machac,15,60.0,67.7,7.6,2.8,7.7,64.0,74.6,55.4,60.0,86.4,35.9,9.2,3.7,27.2,49.9,21.7,39.3,112,0.55,2.8,7.5,1.1,2.9,66.7,0.41,2.1,5.6,0.7,1.9,51.5,40.0,57.5,54.3
21,Jakub Mensik,12,50.0,61.2,10.5,5.8,13.7,57.7,72.3,46.1,53.4,76.1,37.7,7.3,3.7,29.9,51.8,19.9,35.1,77,0.57,2.5,6.4,0.87,2.3,56.6,0.55,2.5,6.3,1.06,2.8,49.2,57.1,48.4,48.2
22,Ugo Humbert,17,41.2,67.5,8.0,1.8,5.1,63.9,73.3,57.3,60.4,86.5,34.6,8.3,4.0,26.4,48.1,16.2,34.3,108,0.47,2.3,6.4,0.8,2.2,62.7,0.36,1.8,4.9,0.67,1.8,50.8,27.3,47.8,51.5
23,Sebastian Korda,15,40.0,64.0,11.2,2.2,5.5,60.2,72.2,51.5,54.5,80.4,31.8,8.1,3.5,22.2,48.9,14.8,33.3,81,0.45,2.3,5.4,0.75,1.8,64.3,0.55,2.7,6.5,0.97,2.3,48.5,55.6,41.7,47.4
24,Karen Khachanov,13,69.2,67.0,7.5,2.6,7.2,64.4,75.6,51.4,55.5,85.3,36.0,10.2,3.8,28.7,48.7,21.3,52.4,63,0.41,2.0,4.8,1.06,2.5,65.7,0.43,2.2,5.2,0.74,1.8,51.4,60.0,61.3,53.4
25,Alexei Popyrin,16,50.0,65.4,11.5,3.0,8.6,64.7,73.5,50.6,55.4,84.2,32.5,10.4,4.2,24.8,45.6,13.1,29.5,95,0.44,2.3,5.9,0.67,1.8,68.6,0.5,2.5,6.6,0.79,2.1,49.0,44.4,50.0,48.2
26,Alejandro Davidovich Fokina,13,53.8,65.5,8.1,2.8,8.5,67.0,73.0,50.4,55.1,84.7,35.1,11.0,2.8,25.3,51.1,17.8,37.2,78,0.48,2.4,6.0,0.88,2.2,66.7,0.46,2.3,5.8,0.76,1.9,50.6,33.3,48.5,51.2
27,Felix Auger Aliassime,15,53.3,67.8,12.2,5.6,14.7,62.0,76.8,53.2,62.3,84.5,38.0,4.7,3.4,32.3,48.3,22.2,44.0,84,0.5,2.3,5.6,1.03,2.5,55.9,0.35,1.6,3.9,0.72,1.7,52.4,55.6,55.6,53.4
28,Denis Shapovalov,17,35.3,62.8,9.4,7.4,17.7,58.0,74.7,46.4,56.4,81.6,33.5,4.8,2.4,28.4,44.3,17.8,42.5,87,0.42,2.0,5.1,0.86,2.2,67.0,0.56,2.7,6.8,0.88,2.2,48.8,25.0,41.9,49.6
29,Brandon Nakashima,15,73.3,69.6,12.8,1.3,4.3,68.6,75.9,55.7,58.2,91.1,34.1,9.4,3.2,26.7,45.1,18.4,38.4,86,0.48,2.4,5.7,0.92,2.2,74.2,0.34,1.7,4.1,0.44,1.1,51.8,62.5,66.7,54.9
